Municipality,numbered,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL_REAL,MOTOR,PERSONAL,GROSS,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.2663305000000000e+08,5.0719000000000000e+06,9.0260000000000000e+05,4.1500000000000000e+05,1.6131000000000000e+06,2.4234730000000000e+08,2.2016540000000000e+07,5.7225060000000000e+06,2.7008634600000000e+08,7.7116500000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.0590220000000000e+08,5.8767100000000000e+07,1.4721100000000000e+07,5.3610000000000000e+05,1.1570100000000000e+07,6.9168862000000000e+08,8.9854510000000000e+07,3.8616676000000000e+07,8.2015980600000000e+08,1.9202000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,1.8884780000000000e+08,8.3093500000000000e+06,9.6603000000000000e+05,0.0000000000000000e+00,4.5731400000000000e+06,2.0954987200000000e+08,2.8058416000000000e+07,8.2944190000000000e+06,2.4590270700000000e+08,6.8535520000000000e+06
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,1.7148121700000000e+09,2.2200525000000000e+08,2.7698530000000000e+07,2.2947000000000000e+05,2.4406640000000000e+07,1.9941789100000000e+09,1.5655189000000000e+08,9.7626960000000000e+07,2.2483577600000000e+09,5.0268500000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.1898997000000000e+08,1.3743740000000000e+07,2.2340700000000000e+06,0.0000000000000000e+00,1.7612300000000000e+06,2.6261482000000000e+08,2.7239410000000000e+07,1.1680776000000000e+07,3.0153500600000000e+08,2.5885810000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.8948203000000000e+08,2.1813170000000000e+07,2.4581530000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,4.5425648000000000e+08,3.9535852000000000e+07,1.9013478000000000e+07,5.1280581000000000e+08,1.8379750000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.0531468900000000e+09,1.8879500000000000e+08,1.0016470000000000e+08,2.5721000000000000e+06,0.0000000000000000e+00,1.4016358100000000e+09,1.5844173000000000e+08,1.8424817000000000e+08,1.7443257100000000e+09,5.6957120000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.4499425000000000e+08,1.6549818000000000e+07,7.9713200000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.7509684800000000e+08,4.4822590000000000e+07,1.0087231000000000e+07,5.3000666900000000e+08,5.5814600000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.1588047700000000e+09,1.6247922000000000e+08,6.1377430000000000e+07,1.6486100000000000e+06,1.5894830000000000e+07,1.4344836900000000e+09,1.3012098000000000e+08,1.2304138800000000e+08,1.6876460580000000e+09,3.4278830000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.0215421000000000e+08,7.7079600000000000e+06,4.4835100000000000e+06,0.0000000000000000e+00,7.0102000000000000e+05,3.2123085000000000e+08,3.0531400000000000e+07,6.6556360000000000e+06,3.5841788600000000e+08,6.1841500000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,9.4493095200000000e+08,2.6329970000000000e+08,1.0760786000000000e+08,0.0000000000000000e+00,7.5046730000000000e+07,1.4045005070000000e+09,1.3420825000000000e+08,2.2173647000000000e+08,1.7604452270000000e+09,1.3615265000000000e+07
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.1954654000000000e+08,1.5768060000000000e+07,5.3682300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.5228048000000000e+08,3.5594540000000000e+07,8.6790100000000000e+06,3.9655403000000000e+08,1.1597650000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.0931937000000000e+08,7.7701600000000000e+06,1.9148050000000000e+07,0.0000000000000000e+00,9.4123000000000000e+05,1.4310561000000000e+08,2.2991270000000000e+07,2.1574545000000000e+07,1.8767142500000000e+08,5.9268000000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.4970525400000000e+09,3.2877606000000000e+08,9.6198230000000000e+07,2.4085600000000000e+06,4.1572010000000000e+07,2.9823696000000000e+09,2.0969389600000000e+08,1.3286039200000000e+08,3.3249238880000000e+09,1.6362200000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,3.2305212310000000e+09,7.5667508500000000e+08,1.8087790900000000e+08,4.1316565000000000e+07,2.7804225900000000e+08,4.5243727190000000e+09,3.8306996100000000e+08,5.6816697900000000e+08,5.4756096590000000e+09,3.6939670000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.5538342200000000e+08,2.9796000000000000e+06,7.9950000000000000e+05,5.6750000000000000e+05,0.0000000000000000e+00,3.8626084200000000e+08,1.7520260000000000e+07,3.1817000000000000e+06,4.0696280200000000e+08,2.6530820000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,1.8775599600000000e+09,2.8430069000000000e+08,1.7670772000000000e+08,6.8072600000000000e+06,9.2863170000000000e+07,2.4838481100000000e+09,3.3887792000000000e+08,3.7354921000000000e+08,3.1962752400000000e+09,4.5609310000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.8983122800000000e+09,2.5780126000000000e+08,1.0629103000000000e+08,2.9725500000000000e+06,8.5279500000000000e+06,2.3332794550000000e+09,1.3457300300000000e+08,8.8305188000000000e+07,2.5561576460000000e+09,5.9374385000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.7032126000000000e+08,2.8408540000000000e+07,3.7666200000000000e+06,1.0710000000000000e+05,1.3103940000000000e+07,4.3590651000000000e+08,4.8758469000000000e+07,1.4630312000000000e+07,4.9929529100000000e+08,2.0199050000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,6.3071068000000000e+08,1.1470130000000000e+07,2.5064200000000000e+06,0.0000000000000000e+00,1.5834000000000000e+05,6.8379821000000000e+08,7.1286199000000000e+07,1.1806653000000000e+07,7.6689106200000000e+08,3.8952640000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,8.8935900000000000e+07,4.7044000000000000e+06,2.6129000000000000e+06,7.2369000000000000e+06,0.0000000000000000e+00,1.0638720000000000e+08,8.9663300000000000e+06,7.3031800000000000e+06,1.2265671000000000e+08,2.8971000000000000e+06
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,2.7838740000000000e+08,8.0550640000000000e+06,2.3038000000000000e+06,3.4400000000000000e+04,1.5409000000000000e+06,3.0408733300000000e+08,3.7467960000000000e+07,7.5090230000000000e+06,3.4906431600000000e+08,1.3765769000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,6.8278454000000000e+08,1.0229339000000000e+08,5.9568900000000000e+06,1.4297000000000000e+05,6.4042500000000000e+06,7.9991975000000000e+08,7.6965908000000000e+07,4.3560940000000000e+07,9.2044659800000000e+08,2.3377100000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,9.2513500000000000e+07,7.3635000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.5380000000000000e+05,1.0481610000000000e+08,1.4805000000000000e+07,8.0541400000000000e+06,1.2767524000000000e+08,4.4853000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,1.8884637300000000e+09,1.4755459000000000e+08,1.5103865000000000e+08,0.0000000000000000e+00,1.1394500000000000e+07,2.2142759200000000e+09,2.1261909400000000e+08,1.1820487100000000e+08,2.5450998850000000e+09,1.5824450000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,2.9618525000000000e+08,5.1227800000000000e+07,1.6269700000000000e+07,3.6830000000000000e+05,3.0407000000000000e+06,3.8063135000000000e+08,2.7343428000000000e+07,2.0986050000000000e+07,4.2896082800000000e+08,1.3539600000000000e+07
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.2881158350000000e+09,1.4987527300000000e+08,3.1421500000000000e+07,1.3572000000000000e+06,3.5150920000000000e+06,1.4998866400000000e+09,8.7520700000000000e+07,7.0973191000000000e+07,1.6583805310000000e+09,2.5601740000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,9.2962833000000000e+08,8.6831100000000000e+07,1.0723800000000000e+07,3.0980000000000000e+05,2.1009700000000000e+07,1.0854285610000000e+09,1.0494224000000000e+08,3.9209590000000000e+07,1.2295803910000000e+09,3.6925831000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.5445000000000000e+08,1.2664500000000000e+06,7.5050000000000000e+05,1.1645900000000000e+07,0.0000000000000000e+00,1.6971769000000000e+08,1.1081000000000000e+07,4.2568800000000000e+06,1.8505557000000000e+08,1.6048400000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.3258253000000000e+08,1.3787300000000000e+07,7.7801000000000000e+06,3.3900000000000000e+05,6.3490000000000000e+05,4.6777714000000000e+08,3.9883736000000000e+07,1.1023188000000000e+07,5.1868406400000000e+08,1.2653310000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,3.0735420000000000e+08,1.0272960000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2336148000000000e+08,1.3786520000000000e+07,7.8570000000000000e+06,4.4500500000000000e+08,1.0573432000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,7.0057181000000000e+08,1.8325600000000000e+07,3.0894400000000000e+06,2.9597000000000000e+05,0.0000000000000000e+00,7.4790857000000000e+08,7.7812750000000000e+07,1.8863045000000000e+07,8.4458436500000000e+08,2.5625750000000000e+07
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,7.0930084000000000e+08,1.4106852100000000e+08,2.3412580000000000e+07,0.0000000000000000e+00,1.1650475000000000e+07,8.9550453600000000e+08,9.4701141000000000e+07,6.3948166000000000e+07,1.0541538430000000e+09,1.0072120000000000e+07
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,3.7899278000000000e+09,1.1602453100000000e+09,3.3359981000000000e+08,4.5575100000000000e+06,1.6653860000000000e+08,5.4559306300000000e+09,4.5092698000000000e+08,4.5313746000000000e+08,6.3599950700000000e+09,1.0616000000000000e+06
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,5.6687294200000000e+09,4.0272036000000000e+08,0.0000000000000000e+00,3.6487300000000000e+06,0.0000000000000000e+00,6.2204275500000000e+09,2.0953352500000000e+08,7.5581652000000000e+07,6.5055427270000000e+09,1.4532904000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,4.0674781000000000e+08,2.6163200000000000e+07,1.1309760000000000e+07,4.5647000000000000e+05,2.3265900000000000e+06,4.6069718000000000e+08,3.1286035000000000e+07,2.1050935000000000e+07,5.1303415000000000e+08,1.3693350000000000e+07
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,6.3106784000000000e+08,1.2201317000000000e+08,1.5007200000000000e+07,6.0087000000000000e+05,2.5918250000000000e+07,8.0390011000000000e+08,6.1442200000000000e+07,4.2108282000000000e+07,9.0745059200000000e+08,9.2927800000000000e+06
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,5.4228902300000000e+08,1.8716110000000000e+07,1.2648300000000000e+07,0.0000000000000000e+00,1.7405500000000000e+06,6.8332656300000000e+08,5.3234150000000000e+07,2.4737602000000000e+07,7.6129831500000000e+08,1.0793258000000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.1362100000000000e+08,1.6064500000000000e+07,5.9435400000000000e+07,3.6380000000000000e+05,0.0000000000000000e+00,4.0487720000000000e+08,4.5771142000000000e+07,5.5295990000000000e+07,5.0594433200000000e+08,1.5392500000000000e+07
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,4.8764810000000000e+08,3.2741350000000000e+07,4.2363600000000000e+06,1.9933000000000000e+05,0.0000000000000000e+00,6.2228458000000000e+08,6.6291606000000000e+07,1.8204312000000000e+07,7.0678049800000000e+08,9.7459440000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,8.9189102000000000e+08,4.1585360000000000e+07,1.0712980000000000e+07,3.4127900000000000e+06,2.5792400000000000e+06,9.8793868000000000e+08,8.7572516000000000e+07,2.4613623000000000e+07,1.1001248190000000e+09,3.7757290000000000e+07
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1.8509942400000000e+09,3.6780015000000000e+08,2.6011955000000000e+08,1.8513900000000000e+06,1.0301415000000000e+08,2.6119023500000000e+09,2.4663389800000000e+08,4.3862387000000000e+08,3.2971601180000000e+09,2.8122870000000000e+07
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.7276715100000000e+09,2.1749247000000000e+08,4.7326130000000000e+07,0.0000000000000000e+00,5.0108570000000000e+07,2.0534574200000000e+09,1.5416007500000000e+08,3.7033062000000000e+07,2.2446505570000000e+09,1.0858740000000000e+07
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.8562206510000000e+09,1.3022058100000000e+08,1.8388510000000000e+07,8.6548000000000000e+05,3.0249816000000000e+07,2.1080431190000000e+09,1.1341879000000000e+08,3.6178919000000000e+07,2.2576408280000000e+09,7.2098081000000000e+07
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,4.1795900500000000e+08,1.2464254500000000e+08,6.5931680000000000e+07,0.0000000000000000e+00,1.2659490000000000e+07,6.3407565000000000e+08,8.6406840000000000e+07,7.7912967000000000e+07,7.9839545700000000e+08,1.2882930000000000e+07
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,7.6005870000000000e+07,5.0680700000000000e+06,1.5885100000000000e+06,2.7860000000000000e+04,1.3720000000000000e+05,8.6286560000000000e+07,1.3059580000000000e+07,8.0066180000000000e+06,1.0735275800000000e+08,3.4590500000000000e+06
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.5247475800000000e+09,3.5282620000000000e+07,2.8260000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,1.5750319900000000e+09,7.3957240000000000e+07,1.3017277000000000e+07,1.6620065070000000e+09,1.4719190000000000e+07
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,9.1864849000000000e+08,6.5536390000000000e+07,1.7995166000000000e+07,0.0000000000000000e+00,4.5768370000000000e+07,1.0572250360000000e+09,9.8903303000000000e+07,4.4398330000000000e+07,1.2005266690000000e+09,9.2766200000000000e+06
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.0902790900000000e+09,4.7941186000000000e+08,1.3806611000000000e+08,5.6875700000000000e+06,3.7823660000000000e+07,2.7828387700000000e+09,2.3727692000000000e+08,1.8665722400000000e+08,3.2067729140000000e+09,3.1570480000000000e+07
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,7.9238320000000000e+08,1.0379330000000000e+08,3.1893100000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.2850180000000000e+08,6.0852135000000000e+07,3.5052546000000000e+07,1.0244064810000000e+09,4.3220000000000000e+05
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,1.0005595350000000e+10,9.8322209000000000e+08,4.9830480000000000e+07,4.5521630000000000e+07,5.8085300000000000e+06,1.1211251070000000e+10,4.3819329400000000e+08,1.7265673700000000e+08,1.1822101101000000e+10,1.2127299000000000e+08
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,1.6953064730000000e+09,5.0056133500000000e+08,7.9856860000000000e+07,1.9131000000000000e+05,5.4551080000000000e+07,2.3383074780000000e+09,2.0536731000000000e+08,2.0982548900000000e+08,2.7535002770000000e+09,7.8404200000000000e+06
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.0184899000000000e+08,2.6162765000000000e+07,5.5064800000000000e+06,7.0000000000000000e+02,2.0004000000000000e+05,1.4474571500000000e+08,1.7549720000000000e+07,1.4269893000000000e+07,1.7656532800000000e+08,1.1026740000000000e+07
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,2.2807378600000000e+09,3.6156140000000000e+08,2.5294300000000000e+07,2.2447000000000000e+06,2.3318200000000000e+07,2.7257073600000000e+09,2.5809945000000000e+08,1.1765764000000000e+08,3.1014644500000000e+09,3.2550900000000000e+07
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,3.4904591000000000e+08,9.0521800000000000e+06,2.9524000000000000e+05,4.2523000000000000e+05,2.8952000000000000e+05,3.6216604000000000e+08,2.7477256000000000e+07,7.6933390000000000e+06,3.9733663500000000e+08,3.0579600000000000e+06
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,6.2925206000000000e+08,3.3096840000000000e+07,4.1996500000000000e+06,2.3548000000000000e+05,3.8786300000000000e+06,7.4260572000000000e+08,8.0027850000000000e+07,1.8313820000000000e+07,8.4094739000000000e+08,7.1943060000000000e+07
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.6611543260000000e+10,4.1904816800000000e+09,9.3554230000000000e+07,3.1390450000000000e+07,3.6460943000000000e+08,3.2088192150000000e+10,6.9020481000000000e+08,5.5614662000000000e+08,3.3334543580000000e+10,7.9661310000000000e+08
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,6.3196661500000000e+08,3.6488161000000000e+07,6.1193300000000000e+06,1.5393700000000000e+06,1.0220119000000000e+07,7.1321789500000000e+08,6.9966395000000000e+07,2.1163156000000000e+07,8.0434744600000000e+08,2.6884300000000000e+07
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,2.3171157400000000e+09,4.3079665700000000e+08,5.7813441000000000e+08,0.0000000000000000e+00,1.7030808200000000e+08,3.5789653380000000e+09,2.0245376600000000e+08,5.3689692000000000e+08,4.3183160240000000e+09,8.2610449000000000e+07
"GROTON (City of)",6.0000000000000000e+01,,,,,,,,,,,0.0000000000000000e+00
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2.1432844550000000e+09,1.4095568000000000e+08,2.2584720000000000e+07,0.0000000000000000e+00,7.5368400000000000e+06,2.3294677750000000e+09,1.6904489000000000e+08,7.1606863000000000e+07,2.5701195280000000e+09,1.5106080000000000e+07
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,6.5817432000000000e+08,2.2008940000000000e+07,6.4288900000000000e+06,1.9832910000000000e+07,5.7647700000000000e+06,7.5176046000000000e+08,5.8538520000000000e+07,5.5907958000000000e+07,8.6620693800000000e+08,3.9550630000000000e+07
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,3.1559656820000000e+09,4.1469934000000000e+08,6.0481490000000000e+07,4.0166700000000000e+06,2.3749666000000000e+08,3.8797170520000000e+09,2.9783611300000000e+08,1.2808112000000000e+08,4.3056342850000000e+09,7.0572100000000000e+06
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,9.8498100000000000e+07,1.7436210000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0543804100000000e+08,1.3529260000000000e+07,2.4594860000000000e+06,1.2142678700000000e+08,5.1963200000000000e+06
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,6.4547659600000000e+08,1.2861138430000000e+09,7.9547374000000000e+07,2.5185300000000000e+07,3.0185979700000000e+08,2.4038709460000000e+09,2.7475619300000000e+08,6.8728211000000000e+08,3.3659092490000000e+09,6.5688036000000000e+07
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,1.4731975000000000e+08,6.3872000000000000e+05,0.0000000000000000e+00,1.7532480000000000e+07,0.0000000000000000e+00,1.7326565000000000e+08,1.5103630000000000e+07,3.6492900000000000e+06,1.9201857000000000e+08,7.7747000000000000e+06
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,3.8073804000000000e+08,9.1762700000000000e+06,2.7781700000000000e+06,0.0000000000000000e+00,4.9512000000000000e+05,4.1890194000000000e+08,4.5296460000000000e+07,1.7141838000000000e+07,4.8134023800000000e+08,2.5714340000000000e+07
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,7.2768785000000000e+08,2.4447670000000000e+07,8.7419000000000000e+05,0.0000000000000000e+00,2.9984500000000000e+06,7.7073012000000000e+08,6.4735780000000000e+07,1.3308692000000000e+07,8.4877459200000000e+08,1.4721960000000000e+07
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,3.6509640000000000e+08,3.4010310000000000e+07,0.0000000000000000e+00,2.0696000000000000e+06,0.0000000000000000e+00,4.3718211000000000e+08,2.4753690000000000e+07,1.1397697000000000e+07,4.7333349700000000e+08,3.6005800000000000e+07
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,4.7363618500000000e+08,6.8451098000000000e+07,1.6065276000000000e+08,4.7461800000000000e+06,1.8329590000000000e+07,7.5939522300000000e+08,1.0024205000000000e+08,3.5683991200000000e+08,1.2164771850000000e+09,3.3579410000000000e+07
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,7.0284311000000000e+08,2.0622500000000000e+07,1.6878000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,7.3878466000000000e+08,5.1517451000000000e+07,9.1656600000000000e+06,7.9946777100000000e+08,1.3631250000000000e+07
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,3.8638598000000000e+08,1.2460470000000000e+07,2.7213600000000000e+06,1.2063000000000000e+06,1.0847800000000000e+06,4.2302925000000000e+08,5.3276637000000000e+07,2.2490415000000000e+07,4.9879630200000000e+08,1.9170360000000000e+07
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,9.2120909600000000e+08,5.0213636000000000e+07,9.7692000000000000e+06,5.6553000000000000e+05,8.9723900000000000e+06,1.0260344620000000e+09,1.0388590700000000e+08,5.8180436000000000e+07,1.1881008050000000e+09,3.5304610000000000e+07
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,2.5690412000000000e+08,6.3528940000000000e+07,2.3197500000000000e+06,0.0000000000000000e+00,7.6639000000000000e+05,3.4033433000000000e+08,2.8697380000000000e+07,3.2519040000000000e+07,4.0155075000000000e+08,1.6815130000000000e+07
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,6.9936789400000000e+08,7.7567340000000000e+07,4.9458100000000000e+06,1.2826000000000000e+05,3.0285200000000000e+06,7.9537771600000000e+08,6.9135390000000000e+07,2.4129859000000000e+07,8.8864296500000000e+08,1.0339892000000000e+07
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,4.6369886800000000e+08,3.6583000000000000e+06,0.0000000000000000e+00,2.7480000000000000e+05,0.0000000000000000e+00,4.9035069500000000e+08,2.0706606000000000e+07,4.8635410000000000e+06,5.1592084200000000e+08,2.2718727000000000e+07
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,2.1324815900000000e+09,1.1678410000000000e+08,2.4653000000000000e+06,1.2576000000000000e+06,5.0697200000000000e+06,2.2736755500000000e+09,1.4849456000000000e+08,4.3125834000000000e+07,2.4652959440000000e+09,1.5617240000000000e+07
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,2.4302027200000000e+09,8.0568810000000000e+08,2.1194782600000000e+08,5.9962000000000000e+06,2.4808170000000000e+08,3.7024327560000000e+09,3.1531421000000000e+08,3.1216034000000000e+08,4.3299073060000000e+09,5.1621000000000000e+05
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,6.8997060000000000e+08,7.2651980000000000e+07,1.2880700000000000e+06,1.0056200000000000e+06,3.3367040000000000e+07,8.0532738000000000e+08,7.1293424000000000e+07,3.5057720000000000e+07,9.1167852400000000e+08,7.0440700000000000e+06
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,5.2816881000000000e+08,2.9395030000000000e+07,2.4106600000000000e+06,0.0000000000000000e+00,2.6341000000000000e+05,5.6127290000000000e+08,4.6943980000000000e+07,9.2092400000000000e+06,6.1742612000000000e+08,1.0349900000000000e+06
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,2.3816915900000000e+09,5.5969879000000000e+08,1.6342241000000000e+08,4.2496100000000000e+06,1.2295296000000000e+08,3.2470286800000000e+09,2.7476366000000000e+08,3.0853692700000000e+08,3.8303292670000000e+09,1.5013320000000000e+07
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,7.8021790000000000e+08,1.1014039700000000e+08,9.0671000000000000e+06,9.1010000000000000e+05,0.0000000000000000e+00,9.4984900700000000e+08,6.0043220000000000e+07,3.6516360000000000e+07,1.0464085870000000e+09,4.9513510000000000e+07
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,3.5489540000000000e+08,1.7951500000000000e+07,1.6460900000000000e+07,1.8060000000000000e+06,1.5285000000000000e+06,3.9434980000000000e+08,3.0830590000000000e+07,3.2542200000000000e+07,4.5772259000000000e+08,1.7075000000000000e+06
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,1.4100911320000000e+09,3.2657009800000000e+08,8.8221770000000000e+07,1.4078660000000000e+07,1.5270484700000000e+08,2.0341924370000000e+09,2.5542848200000000e+08,4.2600775000000000e+08,2.7156286690000000e+09,4.2525930000000000e+07
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,5.1225239990000000e+09,7.4506227800000000e+08,2.4786478000000000e+08,1.0302650000000000e+07,9.5530134000000000e+07,6.5965896070000000e+09,3.4315222500000000e+08,2.6022782800000000e+08,7.1999696600000000e+09,3.7530576600000000e+08
