Municipality,October2007 Unemployed,October2007 Labor Force
"ANDOVER",6.2000000000000000e+01,2.0150000000000000e+03
"ANSONIA",5.0800000000000000e+02,1.0204000000000000e+04
"ASHFORD",9.3000000000000000e+01,2.6530000000000000e+03
"AVON",2.7700000000000000e+02,9.3280000000000000e+03
"BARKHAMSTED",8.1000000000000000e+01,2.2650000000000000e+03
"BEACON FALLS",1.5200000000000000e+02,3.3180000000000000e+03
"BERLIN",3.8700000000000000e+02,1.1185000000000000e+04
"BETHANY",1.1000000000000000e+02,3.1420000000000000e+03
"BETHEL",3.3200000000000000e+02,1.1127000000000000e+04
"BETHLEHEM",7.1000000000000000e+01,2.1110000000000000e+03
"BLOOMFIELD",5.2100000000000000e+02,1.0205000000000000e+04
"BOLTON",9.4000000000000000e+01,3.1100000000000000e+03
"BOZRAH",6.1000000000000000e+01,1.5050000000000000e+03
"BRANFORD",6.5400000000000000e+02,1.7627000000000000e+04
"BRIDGEPORT",4.0610000000000000e+03,6.4019000000000000e+04
"BRIDGEWATER",3.3000000000000000e+01,1.0680000000000000e+03
"BRISTOL",1.5970000000000000e+03,3.4785000000000000e+04
"BROOKFIELD",3.2500000000000000e+02,9.2760000000000000e+03
"BROOKLYN",1.9400000000000000e+02,3.9400000000000000e+03
"BURLINGTON",1.7500000000000000e+02,5.4230000000000000e+03
"CANAAN",2.0000000000000000e+01,6.3000000000000000e+02
"CANTERBURY",1.2400000000000000e+02,3.2320000000000000e+03
"CANTON",1.6600000000000000e+02,5.7670000000000000e+03
"CHAPLIN",5.5000000000000000e+01,1.4560000000000000e+03
"CHESHIRE",5.1100000000000000e+02,1.4915000000000000e+04
"CHESTER",6.9000000000000000e+01,2.3100000000000000e+03
"CLINTON",2.8000000000000000e+02,8.0730000000000000e+03
"COLCHESTER",2.8100000000000000e+02,8.8500000000000000e+03
"COLEBROOK",1.7000000000000000e+01,8.6400000000000000e+02
"COLUMBIA",1.0300000000000000e+02,3.1020000000000000e+03
"CORNWALL",2.0000000000000000e+01,8.6100000000000000e+02
"COVENTRY",2.6200000000000000e+02,7.1270000000000000e+03
"CROMWELL",2.7200000000000000e+02,7.9430000000000000e+03
"DANBURY",1.5450000000000000e+03,4.5175000000000000e+04
"DARIEN",2.9200000000000000e+02,9.4940000000000000e+03
"DEEP RIVER",9.0000000000000000e+01,2.6310000000000000e+03
"DERBY",3.4000000000000000e+02,7.0540000000000000e+03
"DURHAM",1.1800000000000000e+02,4.2730000000000000e+03
"EAST GRANBY",9.8000000000000000e+01,2.9710000000000000e+03
"EAST HADDAM",1.8200000000000000e+02,5.2330000000000000e+03
"EAST HAMPTON",2.8600000000000000e+02,6.9390000000000000e+03
"EAST HARTFORD",1.4440000000000000e+03,2.5807000000000000e+04
"EAST HAVEN",7.9500000000000000e+02,1.6399000000000000e+04
"EAST LYME",3.1000000000000000e+02,9.7810000000000000e+03
"EAST WINDSOR",2.3600000000000000e+02,6.2440000000000000e+03
"EASTFORD",2.8000000000000000e+01,1.0010000000000000e+03
"EASTON",1.2100000000000000e+02,3.8790000000000000e+03
"ELLINGTON",3.1000000000000000e+02,8.7890000000000000e+03
"ENFIELD",1.0780000000000000e+03,2.4638000000000000e+04
"ESSEX",1.1100000000000000e+02,3.8430000000000000e+03
"FAIRFIELD",1.0090000000000000e+03,2.9125000000000000e+04
"FARMINGTON",4.7200000000000000e+02,1.3147000000000000e+04
"FRANKLIN",4.1000000000000000e+01,1.2140000000000000e+03
"GLASTONBURY",5.9300000000000000e+02,1.8561000000000000e+04
"GOSHEN",5.6000000000000000e+01,1.6520000000000000e+03
"GRANBY",2.0900000000000000e+02,6.3780000000000000e+03
"GREENWICH",9.8500000000000000e+02,3.1230000000000000e+04
"GRISWOLD",3.1800000000000000e+02,7.2510000000000000e+03
"GROTON",7.9300000000000000e+02,2.0267000000000000e+04
"GROTON (City of)",,
"GUILFORD",4.3200000000000000e+02,1.3199000000000000e+04
"HADDAM",1.4000000000000000e+02,4.8540000000000000e+03
"HAMDEN",1.2900000000000000e+03,3.1371000000000000e+04
"HAMPTON",5.9000000000000000e+01,1.2110000000000000e+03
"HARTFORD",3.9010000000000000e+03,4.9052000000000000e+04
"HARTLAND",3.1000000000000000e+01,1.2150000000000000e+03
"HARWINTON",1.1400000000000000e+02,3.2100000000000000e+03
"HEBRON",1.8800000000000000e+02,5.5810000000000000e+03
"KENT",4.9000000000000000e+01,1.6590000000000000e+03
"KILLINGLY",5.1100000000000000e+02,9.6100000000000000e+03
"KILLINGWORTH",1.0400000000000000e+02,3.6330000000000000e+03
"LEBANON",1.4100000000000000e+02,4.3670000000000000e+03
"LEDYARD",2.8400000000000000e+02,8.7380000000000000e+03
"LISBON",8.7000000000000000e+01,2.6220000000000000e+03
"LITCHFIELD",1.5900000000000000e+02,4.5610000000000000e+03
"LYME",3.6000000000000000e+01,1.1790000000000000e+03
"MADISON",3.0000000000000000e+02,1.0253000000000000e+04
"MANCHESTER",1.3540000000000000e+03,3.2427000000000000e+04
"MANSFIELD",4.1600000000000000e+02,1.3124000000000000e+04
"MARLBOROUGH",1.1600000000000000e+02,3.6540000000000000e+03
"MERIDEN",1.6470000000000000e+03,3.2097000000000000e+04
"MIDDLEBURY",1.3700000000000000e+02,3.8710000000000000e+03
"MIDDLEFIELD",9.3000000000000000e+01,2.4300000000000000e+03
"MIDDLETOWN",1.1310000000000000e+03,2.6931000000000000e+04
"MILFORD",1.1690000000000000e+03,3.2364000000000000e+04
"MONROE",3.7800000000000000e+02,1.0959000000000000e+04
"MONTVILLE",4.4200000000000000e+02,1.1100000000000000e+04
"MORRIS",6.3000000000000000e+01,1.3740000000000000e+03
"NAUGATUCK",7.7400000000000000e+02,1.7422000000000000e+04
"NEW BRITAIN",2.1640000000000000e+03,3.5075000000000000e+04
"NEW CANAAN",2.5400000000000000e+02,9.1840000000000000e+03
"NEW FAIRFIELD",2.6100000000000000e+02,7.8130000000000000e+03
"NEW HARTFORD",1.4000000000000000e+02,3.8640000000000000e+03
"NEW HAVEN",3.7990000000000000e+03,5.6508000000000000e+04
"NEW LONDON",7.1400000000000000e+02,1.3890000000000000e+04
"NEW MILFORD",5.0900000000000000e+02,1.6725000000000000e+04
"NEWINGTON",6.2200000000000000e+02,1.6905000000000000e+04
"NEWTOWN",4.3900000000000000e+02,1.4694000000000000e+04
"NORFOLK",3.0000000000000000e+01,9.8900000000000000e+02
"NORTH BRANFORD",3.1100000000000000e+02,8.4870000000000000e+03
"NORTH CANAAN",7.0000000000000000e+01,1.8110000000000000e+03
"NORTH HAVEN",4.9900000000000000e+02,1.3307000000000000e+04
"NORTH STONINGTON",1.0900000000000000e+02,3.3390000000000000e+03
"NORWALK",1.7490000000000000e+03,4.9895000000000000e+04
"NORWICH",1.0330000000000000e+03,2.1101000000000000e+04
"OLD LYME",1.4300000000000000e+02,4.3430000000000000e+03
"OLD SAYBROOK",2.0300000000000000e+02,5.5740000000000000e+03
"ORANGE",2.4300000000000000e+02,7.4570000000000000e+03
"OXFORD",2.4200000000000000e+02,7.0940000000000000e+03
"PLAINFIELD",4.5400000000000000e+02,8.6370000000000000e+03
"PLAINVILLE",4.1500000000000000e+02,1.0245000000000000e+04
"PLYMOUTH",3.3700000000000000e+02,6.9710000000000000e+03
"POMFRET",7.7000000000000000e+01,2.3270000000000000e+03
"PORTLAND",2.1400000000000000e+02,5.4530000000000000e+03
"PRESTON",1.1400000000000000e+02,2.9110000000000000e+03
"PROSPECT",1.9700000000000000e+02,5.3730000000000000e+03
"PUTNAM",2.9200000000000000e+02,5.3480000000000000e+03
"REDDING",1.2100000000000000e+02,4.6780000000000000e+03
"RIDGEFIELD",3.5300000000000000e+02,1.2119000000000000e+04
"ROCKY HILL",3.9200000000000000e+02,1.0895000000000000e+04
"ROXBURY",3.9000000000000000e+01,1.4290000000000000e+03
"SALEM",8.6000000000000000e+01,2.6590000000000000e+03
"SALISBURY",5.9000000000000000e+01,2.0790000000000000e+03
"SCOTLAND",2.5000000000000000e+01,1.0120000000000000e+03
"SEYMOUR",3.7500000000000000e+02,9.3830000000000000e+03
"SHARON",4.2000000000000000e+01,1.6320000000000000e+03
"SHELTON",8.8400000000000000e+02,2.3204000000000000e+04
"SHERMAN",7.0000000000000000e+01,2.2160000000000000e+03
"SIMSBURY",3.8100000000000000e+02,1.2313000000000000e+04
"SOMERS",2.1100000000000000e+02,4.8360000000000000e+03
"SOUTH WINDSOR",4.7000000000000000e+02,1.5015000000000000e+04
"SOUTHBURY",3.3800000000000000e+02,9.3280000000000000e+03
"SOUTHINGTON",9.0200000000000000e+02,2.4506000000000000e+04
"SPRAGUE",8.3000000000000000e+01,1.8260000000000000e+03
"STAFFORD",2.7300000000000000e+02,6.9350000000000000e+03
"STAMFORD",2.4190000000000000e+03,6.8495000000000000e+04
"STERLING",9.0000000000000000e+01,2.0370000000000000e+03
"STONINGTON",3.1900000000000000e+02,1.0732000000000000e+04
"STRATFORD",1.1650000000000000e+03,2.6759000000000000e+04
"SUFFIELD",2.8400000000000000e+02,7.4980000000000000e+03
"THOMASTON",2.1600000000000000e+02,4.7310000000000000e+03
"THOMPSON",2.4500000000000000e+02,5.4910000000000000e+03
"TOLLAND",2.7000000000000000e+02,8.4750000000000000e+03
"TORRINGTON",9.0100000000000000e+02,2.0098000000000000e+04
"TRUMBULL",6.2700000000000000e+02,1.8461000000000000e+04
"UNION",1.4000000000000000e+01,4.7600000000000000e+02
"VERNON",7.1500000000000000e+02,1.7528000000000000e+04
"VOLUNTOWN",6.7000000000000000e+01,1.6490000000000000e+03
"WALLINGFORD",9.6400000000000000e+02,2.5643000000000000e+04
"WARREN",2.6000000000000000e+01,7.6400000000000000e+02
"WASHINGTON",6.3000000000000000e+01,2.0220000000000000e+03
"WATERBURY",3.4550000000000000e+03,5.0968000000000000e+04
"WATERFORD",3.6800000000000000e+02,1.0669000000000000e+04
"WATERTOWN",4.9400000000000000e+02,1.2632000000000000e+04
"WEST HARTFORD",1.1620000000000000e+03,2.9948000000000000e+04
"WEST HAVEN",1.4800000000000000e+03,3.0057000000000000e+04
"WESTBROOK",1.1300000000000000e+02,3.7110000000000000e+03
"WESTON",1.3100000000000000e+02,5.0620000000000000e+03
"WESTPORT",4.2100000000000000e+02,1.3093000000000000e+04
"WETHERSFIELD",5.0600000000000000e+02,1.3598000000000000e+04
"WILLINGTON",1.3400000000000000e+02,3.9960000000000000e+03
"WILTON",2.7000000000000000e+02,8.6190000000000000e+03
"WINCHESTER",2.9700000000000000e+02,6.2390000000000000e+03
"WINDHAM",7.0100000000000000e+02,1.1857000000000000e+04
"WINDSOR",6.4200000000000000e+02,1.6376000000000000e+04
"WINDSOR LOCKS",2.7900000000000000e+02,7.1980000000000000e+03
"WOLCOTT",3.6500000000000000e+02,9.1680000000000000e+03
"WOODBRIDGE",1.5500000000000000e+02,5.0490000000000000e+03
"WOODBURY",1.7000000000000000e+02,5.7110000000000000e+03
"WOODSTOCK",1.7700000000000000e+02,4.7080000000000000e+03
