Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2011 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,205563.0000,"0 to 10,000",2.9687188596681251e+00
2,"DARIEN",3.5000000000000000e+01,193896.0000,"10,000 to 30,000",2.8002252935314762e+00
3,"NEW CANAAN",9.1000000000000000e+01,191750.0000,"10,000 to 30,000",2.7692329910604681e+00
4,"WILTON",1.6200000000000000e+02,159720.0000,"10,000 to 30,000",2.3066591568822843e+00
5,"WESTPORT",1.5900000000000000e+02,155792.0000,"10,000 to 30,000",2.2499314010080442e+00
6,"RIDGEFIELD",1.1900000000000000e+02,145000.0000,"10,000 to 30,000",2.0940744912843177e+00
7,"EASTON",4.7000000000000000e+01,141372.0000,"0 to 10,000",2.0416793033230798e+00
8,"WOODBRIDGE",1.6800000000000000e+02,129583.0000,"0 to 10,000",1.8714238262351428e+00
9,"GREENWICH",5.7000000000000000e+01,127201.0000,"30,000 to 70,000",1.8370232370059068e+00
10,"SHERMAN",1.2800000000000000e+02,120458.0000,"0 to 10,000",1.7396415522146642e+00
11,"FAIRFIELD",5.1000000000000000e+01,118476.0000,"30,000 to 70,000",1.7110177202027641e+00
12,"SIMSBURY",1.2900000000000000e+02,116554.0000,"10,000 to 30,000",1.6832604017734645e+00
13,"BURLINGTON",2.0000000000000000e+01,114792.0000,"0 to 10,000",1.6578137862310991e+00
14,"NEWTOWN",9.8000000000000000e+01,114695.0000,"10,000 to 30,000",1.6564129226058952e+00
15,"REDDING",1.1800000000000000e+02,113697.0000,"0 to 10,000",1.6419999133486418e+00
16,"MARLBOROUGH",8.0000000000000000e+01,112665.0000,"0 to 10,000",1.6270958797279147e+00
17,"OXFORD",1.0900000000000000e+02,111122.0000,"0 to 10,000",1.6048120387620410e+00
18,"CHESHIRE",2.5000000000000000e+01,109535.0000,"10,000 to 30,000",1.5818927545022601e+00
19,"BROOKFIELD",1.8000000000000000e+01,108576.0000,"10,000 to 30,000",1.5680429790736969e+00
20,"MONROE",8.6000000000000000e+01,108478.0000,"10,000 to 30,000",1.5666276735554496e+00
21,"HEBRON",6.8000000000000000e+01,107807.0000,"0 to 10,000",1.5569371633233684e+00
22,"AVON",4.0000000000000000e+00,107733.0000,"10,000 to 30,000",1.5558684632381612e+00
23,"MADISON",7.7000000000000000e+01,106609.0000,"10,000 to 30,000",1.5396357754574470e+00
24,"BETHANY",8.0000000000000000e+00,106579.0000,"0 to 10,000",1.5392025186661467e+00
25,"TRUMBULL",1.4500000000000000e+02,106058.0000,"30,000 to 70,000",1.5316782923905665e+00
26,"DURHAM",3.8000000000000000e+01,106000.0000,"0 to 10,000",1.5308406625940529e+00
27,"KILLINGWORTH",7.1000000000000000e+01,105764.0000,"0 to 10,000",1.5274323758358246e+00
28,"GLASTONBURY",5.4000000000000000e+01,104967.0000,"10,000 to 30,000",1.5159221870802826e+00
29,"ORANGE",1.0800000000000000e+02,104335.0000,"10,000 to 30,000",1.5067949106768914e+00
30,"TOLLAND",1.4300000000000000e+02,102370.0000,"10,000 to 30,000",1.4784165908467282e+00
31,"NEW FAIRFIELD",9.2000000000000000e+01,102159.0000,"10,000 to 30,000",1.4753693514145834e+00
32,"SOMERS",1.3000000000000000e+02,100573.0000,"0 to 10,000",1.4524645090478461e+00
33,"MIDDLEBURY",8.2000000000000000e+01,99679.0000,"0 to 10,000",1.4395534566671000e+00
34,"GRANBY",5.6000000000000000e+01,99190.0000,"0 to 10,000",1.4324913709689067e+00
35,"ROXBURY",1.2100000000000000e+02,98833.0000,"0 to 10,000",1.4273356151524341e+00
36,"WARREN",1.5000000000000000e+02,97794.0000,"0 to 10,000",1.4123304882804038e+00
37,"SALEM",1.2200000000000000e+02,97424.0000,"0 to 10,000",1.4069869878543679e+00
38,"GUILFORD",6.1000000000000000e+01,95085.0000,"10,000 to 30,000",1.3732074000259955e+00
39,"COLCHESTER",2.8000000000000000e+01,95034.0000,"10,000 to 30,000",1.3724708634807850e+00
40,"OLD LYME",1.0600000000000000e+02,93682.0000,"0 to 10,000",1.3529454240861891e+00
41,"PROSPECT",1.1600000000000000e+02,93631.0000,"0 to 10,000",1.3522088875409788e+00
42,"PORTLAND",1.1400000000000000e+02,93438.0000,"0 to 10,000",1.3494216021836143e+00
43,"BOLTON",1.2000000000000000e+01,93348.0000,"0 to 10,000",1.3481218318097137e+00
44,"SOUTH WINDSOR",1.3100000000000000e+02,92513.0000,"10,000 to 30,000",1.3360628511185246e+00
45,"EAST HAMPTON",4.1000000000000000e+01,91770.0000,"10,000 to 30,000",1.3253325245873229e+00
46,"COLUMBIA",3.0000000000000000e+01,91715.0000,"0 to 10,000",1.3245382204699392e+00
47,"LYME",7.6000000000000000e+01,91522.0000,"0 to 10,000",1.3217509351125745e+00
48,"ANDOVER",1.0000000000000000e+00,91406.0000,"0 to 10,000",1.3200756755195471e+00
49,"COVENTRY",3.2000000000000000e+01,90502.0000,"10,000 to 30,000",1.3070202042083676e+00
50,"HARTLAND",6.6000000000000000e+01,90278.0000,"0 to 10,000",1.3037852201666595e+00
51,"SUFFIELD",1.4000000000000000e+02,89802.0000,"10,000 to 30,000",1.2969108790780295e+00
52,"MORRIS",8.8000000000000000e+01,87974.0000,"0 to 10,000",1.2705110985948038e+00
53,"HADDAM",6.2000000000000000e+01,87883.0000,"0 to 10,000",1.2691968863278598e+00
54,"BETHEL",9.0000000000000000e+00,87475.0000,"10,000 to 30,000",1.2633045939661771e+00
55,"LEDYARD",7.3000000000000000e+01,87344.0000,"10,000 to 30,000",1.2614127059774995e+00
56,"BERLIN",7.0000000000000000e+00,87091.0000,"10,000 to 30,000",1.2577589070375346e+00
57,"EAST HADDAM",4.0000000000000000e+01,87074.0000,"0 to 10,000",1.2575133948557977e+00
58,"BETHLEHEM",1.0000000000000000e+01,86891.0000,"0 to 10,000",1.2548705284288664e+00
59,"WOODBURY",1.6900000000000000e+02,86802.0000,"0 to 10,000",1.2535851999480092e+00
60,"FARMINGTON",5.2000000000000000e+01,86675.0000,"10,000 to 30,000",1.2517510795315050e+00
61,"HARWINTON",6.7000000000000000e+01,85920.0000,"0 to 10,000",1.2408474502837832e+00
62,"BRIDGEWATER",1.6000000000000000e+01,85481.0000,"0 to 10,000",1.2345074592377570e+00
63,"NEW MILFORD",9.6000000000000000e+01,84818.0000,"10,000 to 30,000",1.2249324841500224e+00
64,"ELLINGTON",4.8000000000000000e+01,84758.0000,"10,000 to 30,000",1.2240659705674219e+00
65,"NEW HARTFORD",9.3000000000000000e+01,84297.0000,"0 to 10,000",1.2174082578744423e+00
66,"ESSEX",5.0000000000000000e+01,84095.0000,"0 to 10,000",1.2144909954796874e+00
67,"UNION",1.4600000000000000e+02,84028.0000,"0 to 10,000",1.2135233886457837e+00
68,"SHELTON",1.2700000000000000e+02,83128.0000,"30,000 to 70,000",1.2005256849067776e+00
69,"GOSHEN",5.5000000000000000e+01,83125.0000,"0 to 10,000",1.2004823592276475e+00
70,"BARKHAMSTED",5.0000000000000000e+00,83056.0000,"0 to 10,000",1.1994858686076570e+00
71,"CANTON",2.3000000000000000e+01,82619.0000,"0 to 10,000",1.1931747613477175e+00
72,"NORFOLK",9.9000000000000000e+01,82250.0000,"0 to 10,000",1.1878457028147249e+00
73,"LITCHFIELD",7.5000000000000000e+01,82155.0000,"0 to 10,000",1.1864737229756077e+00
74,"NORTH STONINGTON",1.0300000000000000e+02,81905.0000,"0 to 10,000",1.1828632497147726e+00
75,"NORTH HAVEN",1.0200000000000000e+02,81789.0000,"10,000 to 30,000",1.1811879901217452e+00
76,"MIDDLEFIELD",8.3000000000000000e+01,81638.0000,"0 to 10,000",1.1790072642722007e+00
77,"WOODSTOCK",1.7000000000000000e+02,81320.0000,"0 to 10,000",1.1744147422844187e+00
78,"HAMPTON",6.4000000000000000e+01,81307.0000,"0 to 10,000",1.1742269976748552e+00
79,"WATERTOWN",1.5400000000000000e+02,81203.0000,"10,000 to 30,000",1.1727250407983478e+00
80,"BOZRAH",1.3000000000000000e+01,81122.0000,"0 to 10,000",1.1715552474618374e+00
81,"LEBANON",7.2000000000000000e+01,80601.0000,"0 to 10,000",1.1640310211862570e+00
82,"WOLCOTT",1.6700000000000000e+02,80529.0000,"10,000 to 30,000",1.1629912048871367e+00
83,"CROMWELL",3.3000000000000000e+01,80426.0000,"10,000 to 30,000",1.1615036899036726e+00
84,"OLD SAYBROOK",1.0700000000000000e+02,80347.0000,"0 to 10,000",1.1603627803532488e+00
85,"EAST LYME",4.4000000000000000e+01,80293.0000,"10,000 to 30,000",1.1595829181289083e+00
86,"CHESTER",2.6000000000000000e+01,80192.0000,"0 to 10,000",1.1581242869315309e+00
87,"BEACON FALLS",6.0000000000000000e+00,80182.0000,"0 to 10,000",1.1579798680010975e+00
88,"EASTFORD",4.6000000000000000e+01,80147.0000,"0 to 10,000",1.1574744017445806e+00
89,"WEST HARTFORD",1.5500000000000000e+02,80061.0000,"30,000 to 70,000",1.1562323989428533e+00
90,"WINDSOR",1.6500000000000000e+02,79927.0000,"10,000 to 30,000",1.1542971852750459e+00
91,"MILFORD",8.5000000000000000e+01,79828.0000,"30,000 to 70,000",1.1528674378637551e+00
92,"NORTH BRANFORD",1.0000000000000000e+02,78720.0000,"10,000 to 30,000",1.1368658203717343e+00
93,"FRANKLIN",5.3000000000000000e+01,78342.0000,"0 to 10,000",1.1314067848013518e+00
94,"PRESTON",1.1500000000000000e+02,78250.0000,"0 to 10,000",1.1300781306413645e+00
95,"STAMFORD",1.3600000000000000e+02,78201.0000,"70,000 & Up",1.1293704778822409e+00
96,"POMFRET",1.1300000000000000e+02,77422.0000,"0 to 10,000",1.1181202432014790e+00
97,"SCOTLAND",1.2400000000000000e+02,77143.0000,"0 to 10,000",1.1140909550423870e+00
98,"SOUTHINGTON",1.3300000000000000e+02,77112.0000,"30,000 to 70,000",1.1136432563580434e+00
99,"NORWALK",1.0400000000000000e+02,76384.0000,"70,000 & Up",1.1031295582224918e+00
100,"DEEP RIVER",3.6000000000000000e+01,76319.0000,"0 to 10,000",1.1021908351746748e+00
101,"VOLUNTOWN",1.4800000000000000e+02,76208.0000,"0 to 10,000",1.1005877850468639e+00
102,"STONINGTON",1.3800000000000000e+02,75972.0000,"10,000 to 30,000",1.0971794982886356e+00
103,"ROCKY HILL",1.2000000000000000e+02,75582.0000,"10,000 to 30,000",1.0915471600017330e+00
104,"SEYMOUR",1.2500000000000000e+02,75482.0000,"10,000 to 30,000",1.0901029706973990e+00
105,"CLINTON",2.7000000000000000e+01,75122.0000,"10,000 to 30,000",1.0849038892017966e+00
106,"STERLING",1.3700000000000000e+02,75000.0000,"0 to 10,000",1.0831419782505092e+00
107,"CORNWALL",3.1000000000000000e+01,75000.0000,"0 to 10,000",1.0831419782505092e+00
108,"PLYMOUTH",1.1200000000000000e+02,74317.0000,"10,000 to 30,000",1.0732781653019077e+00
109,"LISBON",7.4000000000000000e+01,74190.0000,"0 to 10,000",1.0714440448854037e+00
110,"SHARON",1.2600000000000000e+02,73661.0000,"0 to 10,000",1.0638042834654766e+00
111,"EAST GRANBY",3.9000000000000000e+01,73188.0000,"0 to 10,000",1.0569732680559767e+00
112,"CANTERBURY",2.2000000000000000e+01,73000.0000,"0 to 10,000",1.0542581921638288e+00
113,"WALLINGFORD",1.4900000000000000e+02,72540.0000,"30,000 to 70,000",1.0476149213638923e+00
114,"SOUTHBURY",1.3200000000000000e+02,72177.0000,"10,000 to 30,000",1.0423725141891600e+00
115,"BLOOMFIELD",1.1000000000000000e+01,72065.0000,"10,000 to 30,000",1.0407550221683057e+00
116,"WETHERSFIELD",1.6000000000000000e+02,72041.0000,"10,000 to 30,000",1.0404084167352656e+00
117,"WATERFORD",1.5300000000000000e+02,72036.0000,"10,000 to 30,000",1.0403362072700491e+00
118,"NEWINGTON",9.7000000000000000e+01,71817.0000,"10,000 to 30,000",1.0371734326935576e+00
119,"KENT",6.9000000000000000e+01,71736.0000,"0 to 10,000",1.0360036393570469e+00
120,"ASHFORD",3.0000000000000000e+00,71346.0000,"0 to 10,000",1.0303713010701443e+00
121,"BRANFORD",1.4000000000000000e+01,71314.0000,"10,000 to 30,000",1.0299091604927575e+00
122,"COLEBROOK",2.9000000000000000e+01,71125.0000,"0 to 10,000",1.0271796427075661e+00
123,"SALISBURY",1.2300000000000000e+02,70250.0000,"0 to 10,000",1.0145429862946436e+00
124,"MANSFIELD",7.9000000000000000e+01,70208.0000,"10,000 to 30,000",1.0139364267868232e+00
125,"WASHINGTON",1.5100000000000000e+02,70068.0000,"0 to 10,000",1.0119145617607557e+00
126,"CHAPLIN",2.4000000000000000e+01,67981.0000,"0 to 10,000",9.8177433097930478e-01
127,"HAMDEN",6.3000000000000000e+01,67955.0000,"30,000 to 70,000",9.8139884176017789e-01
128,"ENFIELD",4.9000000000000000e+01,67809.0000,"30,000 to 70,000",9.7929032537585026e-01
129,"STRATFORD",1.3900000000000000e+02,67761.0000,"30,000 to 70,000",9.7859711450976994e-01
130,"WILLINGTON",1.6100000000000000e+02,67736.0000,"0 to 10,000",9.7823606718368639e-01
131,"MONTVILLE",8.7000000000000000e+01,67734.0000,"10,000 to 30,000",9.7820718339759971e-01
132,"EAST WINDSOR",4.5000000000000000e+01,66699.0000,"0 to 10,000",9.6325982409774269e-01
133,"GRISWOLD",5.8000000000000000e+01,66303.0000,"10,000 to 30,000",9.5754083445258009e-01
134,"BROOKLYN",1.9000000000000000e+01,66023.0000,"0 to 10,000",9.5349710440044477e-01
135,"DANBURY",3.4000000000000000e+01,65656.0000,"30,000 to 70,000",9.4819692965353897e-01
136,"STAFFORD",1.3500000000000000e+02,65570.0000,"10,000 to 30,000",9.4695492685181171e-01
137,"THOMASTON",1.4100000000000000e+02,64982.0000,"0 to 10,000",9.3846309374232773e-01
138,"NAUGATUCK",8.9000000000000000e+01,63414.0000,"30,000 to 70,000",9.1581820545037040e-01
139,"SPRAGUE",1.3400000000000000e+02,63155.0000,"0 to 10,000",9.1207775515214540e-01
140,"EAST HAVEN",4.3000000000000000e+01,63136.0000,"10,000 to 30,000",9.1180335918432187e-01
141,"MANCHESTER",7.8000000000000000e+01,62436.0000,"30,000 to 70,000",9.0169403405398385e-01
142,"WINDSOR LOCKS",1.6600000000000000e+02,62212.0000,"10,000 to 30,000",8.9845905001227566e-01
143,"VERNON",1.4700000000000000e+02,62115.0000,"10,000 to 30,000",8.9705818638707158e-01
144,"THOMPSON",1.4200000000000000e+02,61517.0000,"0 to 10,000",8.8842193434715422e-01
145,"PLAINVILLE",1.1100000000000000e+02,61489.0000,"10,000 to 30,000",8.8801756134194065e-01
146,"PLAINFIELD",1.1000000000000000e+02,61058.0000,"10,000 to 30,000",8.8179310544026113e-01
147,"WESTBROOK",1.5700000000000000e+02,60422.0000,"0 to 10,000",8.7260806146469683e-01
148,"BRISTOL",1.7000000000000000e+01,60032.0000,"30,000 to 70,000",8.6697572317779414e-01
149,"MIDDLETOWN",8.4000000000000000e+01,59966.0000,"30,000 to 70,000",8.6602255823693375e-01
150,"GROTON",5.9000000000000000e+01,59887.0000,"30,000 to 70,000",8.6488164868650985e-01
151,"WINCHESTER",1.6300000000000000e+02,57050.0000,"10,000 to 30,000",8.2390999812255394e-01
152,"CANAAN",2.1000000000000000e+01,56161.0000,"0 to 10,000",8.1107115520702455e-01
153,"DERBY",3.7000000000000000e+01,55478.0000,"10,000 to 30,000",8.0120734225842327e-01
154,"ANSONIA",2.0000000000000000e+00,55250.0000,"10,000 to 30,000",7.9791459064454173e-01
155,"KILLINGLY",7.0000000000000000e+01,54446.0000,"10,000 to 30,000",7.8630330863769626e-01
156,"MERIDEN",8.1000000000000000e+01,53722.0000,"30,000 to 70,000",7.7584737807431803e-01
157,"WEST HAVEN",1.5600000000000000e+02,53057.0000,"30,000 to 70,000",7.6624351920049683e-01
158,"NORWICH",1.0500000000000000e+02,51225.0000,"30,000 to 70,000",7.3978597114509770e-01
159,"PUTNAM",1.1700000000000000e+02,51171.0000,"0 to 10,000",7.3900610892075735e-01
160,"EAST HARTFORD",4.2000000000000000e+01,49611.0000,"30,000 to 70,000",7.1647675577314673e-01
161,"TORRINGTON",1.4400000000000000e+02,48742.0000,"30,000 to 70,000",7.0392675071848421e-01
162,"NEW LONDON",9.5000000000000000e+01,45509.0000,"10,000 to 30,000",6.5723611050936559e-01
163,"NORTH CANAAN",1.0100000000000000e+02,45139.0000,"0 to 10,000",6.5189261008332977e-01
164,"WINDHAM",1.6400000000000000e+02,42178.0000,"10,000 to 30,000",6.0913016478199966e-01
165,"WATERBURY",1.5200000000000000e+02,41499.0000,"70,000 & Up",5.9932411940557173e-01
166,"BRIDGEPORT",1.5000000000000000e+01,40947.0000,"70,000 & Up",5.9135219444564791e-01
167,"NEW BRITAIN",9.0000000000000000e+01,39838.0000,"70,000 & Up",5.7533613506058379e-01
168,"NEW HAVEN",9.4000000000000000e+01,39094.0000,"70,000 & Up",5.6459136663633869e-01
169,"HARTFORD",6.5000000000000000e+01,29107.0000,"70,000 & Up",4.2036018081250093e-01
