Entity,Initials,DBplans,DCplans,CSplans,Comment,NOPEBO
"MONTVILLE","BP",1,0,0,,0
"MORRIS","BP",0,0,0,,0
"NEW FAIRFIELD","BP",1,0,0,,0
"NEW HARTFORD","BP",0,0,0,,0
"NEW LONDON","BP",1,0,0,,0
"NEW MILFORD","BP",1,0,0,,0
"NEWINGTON","BP",1,0,0,,0
"NORTH CANAAN","BP",0,0,0,,0
"NORTH HAVEN","BP",1,0,0,,0
"OLD LYME","BP",0,0,0,,0
"OXFORD","BP",1,0,0,,0
"PLYMOUTH","BP",1,0,0,,0
"POMFRET","BP",1,0,0,,0
"PRESTON","BP",1,0,0,,0
"RIDGEFIELD","BP",1,0,0,,0
"ROCKY HILL","BP",2,0,0,,0
"ROXBURY","BP",1,0,0,,0
"SALEM","BP",1,0,0,,0
"SCOTLAND","BP",1,0,0,,0
"SEYMOUR","BP",1,0,0,,0
"SIMSBURY","BP",1,0,0,,0
"SOUTH WINDSOR","BP",1,0,0,,0
"SPRAGUE","BP",1,0,0,,0
"STAMFORD","BP",1,0,0,,0
"STRATFORD","BP",1,0,0,,0
"SUFFIELD","BP",1,0,0,,0
"THOMPSON","BP",1,0,0,,0
"TOLLAND","BP",1,0,0,,0
"WARREN","BP",0,0,0,,0
"WASHINGTON","BP",0,0,0,,0
"WATERTOWN","BP",1,0,0,,0
"WEST HAVEN","BP",1,0,0,,0
"WESTON","BP",1,0,0,,0
"WILTON","BP",1,0,0,,0
"WINDSOR LOCKS","BP",1,0,0,,0
"WOODBRIDGE","BP",1,0,0,,0
"WOODBURY","BP",1,0,0,,0
"AVON","JG",1,0,0,,0
"BARKHAMSTED","JG",0,0,0,,0
"BETHANY","JG",1,0,0,,0
"BETHEL","JG",3,0,0,,0
"BLOOMFIELD","JG",1,0,0,,0
"BRIDGEWATER","JG",0,0,0,,0
"BRISTOL","JG",1,0,0,,0
"BROOKFIELD","JG",1,0,0,,0
"CANTERBURY","JG",1,0,0,,0
"CANTON","JG",1,0,0,,0
"CHESHIRE","JG",3,0,0,,0
"CHESTER","JG",2,0,0,,0
"COLCHESTER","JG",1,0,0,,0
"COVENTRY","JG",1,0,0,,0
"CROMWELL","JG",1,0,0,,0
"DANBURY","JG",1,0,0,,0
"DARIEN","JG",2,0,0,,0
"EAST GRANBY","JG",1,0,0,,0
"EAST HAMPTON","JG",1,0,0,,0
"EAST HARTFORD","JG",1,0,0,,0
"EAST LYME","JG",1,0,0,,0
"ELLINGTON","JG",1,0,0,,0
"ENFIELD","JG",1,0,0,,0
"ESSEX","JG",2,0,0,,0
"FARMINGTON","JG",1,0,0,,0
"GLASTONBURY","JG",1,0,0,,0
"GRANBY","JG",1,0,0,,0
"GREENWICH","JG",1,0,0,,0
"GRISWOLD","JG",1,0,0,,0
"GROTON","JG",1,0,0,,0
"GROTON (CITY)","JG",1,0,0,,0
"HADDAM","JG",0,0,0,,0
"HAMDEN","JG",1,0,0,,0
"KENT","JG",0,0,0,,0
"KILLINGLY","JG",1,0,0,,0
"LEDYARD","JG",1,0,0,,0
"LITCHFIELD","JG",1,0,0,,0
"LYME","JG",0,0,0,,0
"MANSFIELD","JG",1,0,0,,0
"MERIDEN","JG",1,0,0,,0
"MIDDLEBURY","JG",1,0,0,,0
"MIDDLETOWN","JG",1,0,0,,0
"MONROE","JG",2,0,0,,0
"NAUGATUCK","JG",1,0,0,,0
"NEW BRITAIN","JG",1,0,0,,0
"NEW CANAAN","JG",1,0,0,,0
"NEW HAVEN","JG",1,0,0,,0
"NEWTOWN","JG",1,0,0,,0
"NORFOLK","JG",0,0,0,,0
"NORTH BRANFORD","JG",1,0,0,,0
"NORTH STONINGTON","JG",1,0,0,,0
"NORWALK","JG",1,0,0,,0
"NORWICH","JG",1,0,0,,0
"OLD SAYBROOK","JG",1,0,0,,0
"ORANGE","JG",1,0,0,,0
"PLAINFIELD","JG",1,0,0,,0
"PLAINVILLE","JG",1,0,0,,0
"PORTLAND","JG",1,0,0,,0
"PROSPECT","JG",1,0,0,,0
"PUTNAM","JG",1,0,0,,0
"REDDING","JG",1,0,0,,0
"SALISBURY","JG",0,0,0,,0
"SHARON","JG",0,0,0,,0
"SHELTON","JG",0,0,0,,0
"SHERMAN","JG",0,0,0,,0
"SOMERS","JG",1,0,0,,0
"SOUTHBURY","JG",0,0,0,,0
"SOUTHINGTON","JG",1,0,0,,0
"STAFFORD","JG",1,0,0,,0
"STERLING","JG",1,0,0,,0
"STONINGTON","JG",1,1,0,,0
"THOMASTON","JG",2,0,0,,0
"TORRINGTON","JG",1,0,0,,0
"TRUMBULL","JG",1,0,0,,0
"UNION","JG",1,0,0,,0
"VERNON","JG",3,0,0,,0
"VOLUNTOWN","JG",0,0,0,,0
"WALLINGFORD","JG",1,0,0,,0
"WATERBURY","JG",1,0,0,,0
"WATERFORD","JG",1,0,0,,0
"WEST HARTFORD","JG",1,0,0,,0
"WESTBROOK","JG",2,0,0,,0
"WESTPORT","JG",2,0,0,,0
"WETHERSFIELD","JG",1,0,0,,0
"WILLINGTON","JG",1,0,0,,0
"WINDHAM","JG",1,0,0,,0
"WINDSOR","JG",1,0,0,,0
"WOLCOTT","JG",1,0,0,,0
"WOODSTOCK","JG",1,0,0,,0
"WINCHESTER","BP",1,0,0,,0
"BRIDGEPORT","BP",1,0,0,,0
"ANDOVER","BP",1,0,0,,0
"ANSONIA","BP",1,0,0,,0
"ASHFORD","BP",1,0,0,,0
"BEACON FALLS","BP",1,0,0,,0
"BERLIN","BP",1,0,0,,0
"BETHLEHEM","BP",0,0,0,,0
"BOLTON","BP",1,0,0,,0
"BOZRAH","BP",1,0,0,,0
"BRANFORD","BP",1,0,0,,0
"BROOKLYN","BP",1,0,0,,0
"BURLINGTON","BP",1,0,0,,0
"CANAAN","BP",1,0,0,,0
"CHAPLIN","BP",1,0,0,,0
"CLINTON","BP",2,0,0,,0
"COLEBROOK","BP",1,0,0,,0
"COLUMBIA","BP",1,0,0,,0
"CORNWALL","BP",0,0,0,,0
"DEEP RIVER","BP",0,0,0,,0
"DERBY","BP",1,0,0,,0
"DURHAM","BP",1,0,0,,0
"EAST HADDAM","BP",1,0,0,,0
"EAST HAVEN","BP",2,0,0,,0
"EAST WINDSOR","BP",1,0,0,,0
"EASTFORD","BP",1,0,0,,0
"EASTON","BP",1,0,0,,0
"FAIRFIELD","BP",3,0,0,,0
"FRANKLIN","BP",0,0,0,,0
"GOSHEN","BP",0,0,0,,0
"GUILFORD","BP",1,0,0,,0
"HAMPTON","BP",1,0,0,,0
"HARTLAND","BP",0,0,0,,0
"HARWINTON","BP",0,0,0,,0
"HEBRON","BP",1,0,0,,0
"KILLINGWORTH","BP",1,0,0,,0
"LEBANON","BP",1,0,0,,0
"LISBON","BP",1,0,0,,0
"HARTFORD","BP",1,0,0,,0
"MADISON","BP",1,0,0,,0
"MANCHESTER","BP",1,0,0,,0
"MARLBOROUGH","BP",1,0,0,,0
"MIDDLEFIELD","BP",0,0,0,,0
"MILFORD","BP",2,0,0,,0
