MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1690249000000000e+08,4.5092000000000000e+06,1.0683000000000000e+06,6.1680000000000000e+05,1.5360000000000000e+06,2.3097697000000000e+08,1.1759000000000000e+06,2.2980107000000000e+08,2.5717580000000000e+07,6.9992000000000000e+05,2.5017660000000000e+07,6.4575050000000000e+06,4.5647000000000000e+05,6.0010350000000000e+06,2.6315205500000000e+08,2.6081976500000000e+08,6.3441800000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.5090255000000000e+08,7.8406900000000000e+07,1.5386600000000000e+07,3.3000000000000000e+04,1.5401400000000000e+07,7.6024951000000000e+08,5.8751490000000000e+06,7.5437436100000000e+08,9.2679667000000000e+07,1.2388720000000000e+06,9.1440795000000000e+07,5.0680465000000000e+07,3.9981700000000000e+06,4.6682295000000000e+07,9.0360964200000000e+08,8.9249745100000000e+08,1.1906000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2470930000000000e+08,1.2664800000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.2436000000000000e+06,2.5995911000000000e+08,1.0171750000000000e+06,2.5894193500000000e+08,3.0117490000000000e+07,9.6374000000000000e+05,2.9153750000000000e+07,8.8211110000000000e+06,6.6490700000000000e+05,8.1562040000000000e+06,2.9889771100000000e+08,2.9625188900000000e+08,1.3341410000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,1.9747184000000000e+09,2.6064744000000000e+08,3.2007780000000000e+07,3.2259000000000000e+05,3.2453520000000000e+07,2.3050439900000000e+09,4.3450600000000000e+06,2.3006989300000000e+09,1.7663217000000000e+08,8.5667000000000000e+05,1.7577550000000000e+08,9.7338470000000000e+07,1.4732370000000000e+07,8.2606100000000000e+07,2.5790146300000000e+09,2.5590805300000000e+09,4.8942600000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.4550645000000000e+08,1.1609096000000000e+07,4.3247200000000000e+06,0.0000000000000000e+00,2.1733800000000000e+06,3.0019819600000000e+08,1.0227900000000000e+06,2.9917540600000000e+08,3.0788295000000000e+07,5.4241000000000000e+05,3.0245885000000000e+07,1.4191881000000000e+07,4.5294600000000000e+06,9.6624210000000000e+06,3.4517837200000000e+08,3.3908371200000000e+08,3.6584550000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.5840641000000000e+08,1.4013620000000000e+07,3.0697430000000000e+07,3.1364000000000000e+05,7.3214000000000000e+05,4.1767777000000000e+08,3.2863460000000000e+06,4.1439142400000000e+08,4.2061090000000000e+07,3.2992000000000000e+05,4.1731170000000000e+07,2.1384974000000000e+07,2.5029840000000000e+06,1.8881990000000000e+07,4.8112383400000000e+08,4.7500458400000000e+08,1.3514530000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.3864303800000000e+09,2.5487346000000000e+08,1.2255026000000000e+08,3.0052000000000000e+06,1.6810000000000000e+05,1.8034436000000000e+09,5.5682970000000000e+06,1.7978753030000000e+09,1.9720780000000000e+08,1.4856540000000000e+07,1.8235126000000000e+08,2.6399981000000000e+08,5.8096890000000000e+07,2.0590292000000000e+08,2.2646512100000000e+09,2.1861294830000000e+09,3.6416200000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.5295476000000000e+08,2.4959070000000000e+07,4.8230800000000000e+06,0.0000000000000000e+00,3.1172000000000000e+05,4.8661086000000000e+08,1.9741150000000000e+06,4.8463674500000000e+08,4.5787505000000000e+07,1.7688500000000000e+05,4.5610620000000000e+07,2.2264970000000000e+07,3.2759300000000000e+06,1.8989040000000000e+07,5.5466333500000000e+08,5.4923640500000000e+08,3.5622300000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.2670930600000000e+09,1.8775015000000000e+08,7.9222670000000000e+07,0.0000000000000000e+00,2.0778950000000000e+07,1.5963736400000000e+09,5.2321600000000000e+06,1.5911414800000000e+09,1.4187353000000000e+08,3.0281000000000000e+05,1.4157072000000000e+08,1.5672205000000000e+08,2.4641860000000000e+07,1.3208019000000000e+08,1.8949692200000000e+09,1.8647923900000000e+09,4.1528810000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,2.9530610000000000e+08,2.0535900000000000e+07,2.5315000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.2734370000000000e+08,2.8017900000000000e+06,3.2454191000000000e+08,3.3132630000000000e+07,1.4156000000000000e+05,3.2991070000000000e+07,7.8790700000000000e+06,1.2061950000000000e+06,6.6728750000000000e+06,3.6835540000000000e+08,3.6420585500000000e+08,8.9702000000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.1155365700000000e+09,2.6938151000000000e+08,1.8936871000000000e+08,0.0000000000000000e+00,1.0277667000000000e+08,1.6809130800000000e+09,3.1725000000000000e+06,1.6777405800000000e+09,1.5249835200000000e+08,8.8831300000000000e+06,1.4361522200000000e+08,3.4388924000000000e+08,9.8087800000000000e+07,2.4580144000000000e+08,2.1773006720000000e+09,2.0671572420000000e+09,3.8496200000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.3639725000000000e+08,1.3893000000000000e+07,7.4264000000000000e+06,0.0000000000000000e+00,2.8266000000000000e+06,3.8105528000000000e+08,2.1607200000000000e+06,3.7889456000000000e+08,4.0154060000000000e+07,1.2524250000000000e+06,3.8901635000000000e+07,1.1650160000000000e+07,1.9985300000000000e+06,9.6516300000000000e+06,4.3285950000000000e+08,4.2744782500000000e+08,2.0512030000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.3936570000000000e+08,1.0256850000000000e+07,2.1027860000000000e+07,0.0000000000000000e+00,9.7175000000000000e+05,1.8077042000000000e+08,1.3490700000000000e+06,1.7942135000000000e+08,2.3694120000000000e+07,2.2048000000000000e+05,2.3473640000000000e+07,2.7365961000000000e+07,1.1679340000000000e+07,1.5686621000000000e+07,2.3183050100000000e+08,2.1858161100000000e+08,9.1482600000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.6311142900000000e+09,3.5235319000000000e+08,1.0603958000000000e+08,3.1496000000000000e+06,4.5462690000000000e+07,3.1577054000000000e+09,8.5404000000000000e+06,3.1491650000000000e+09,2.2199998800000000e+08,1.9151490000000000e+06,2.2008483900000000e+08,1.6605867200000000e+08,2.4236712000000000e+07,1.4182196000000000e+08,3.5457640600000000e+09,3.5110717990000000e+09,1.9586050000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,4.0853440130000000e+09,9.0369342500000000e+08,5.5229600900000000e+08,4.2210115000000000e+07,2.9389274000000000e+08,5.9599237840000000e+09,2.5739107000000000e+07,5.9341846770000000e+09,4.3936954700000000e+08,8.5339730000000000e+06,4.3083557400000000e+08,8.1156618400000000e+08,9.7476793000000000e+07,7.1408939100000000e+08,7.2108595150000000e+09,7.0791096420000000e+09,8.2487482000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.4186215200000000e+08,2.8743000000000000e+06,7.0110000000000000e+05,5.5480000000000000e+05,0.0000000000000000e+00,3.6873828200000000e+08,7.7200000000000000e+05,3.6796628200000000e+08,1.8123932000000000e+07,9.9360000000000000e+04,1.8024572000000000e+07,3.8733920000000000e+06,4.1486000000000000e+05,3.4585320000000000e+06,3.9073560600000000e+08,3.8944938600000000e+08,2.2745930000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.3458721800000000e+09,4.8455021000000000e+08,2.2279611000000000e+08,2.2957200000000000e+06,1.3732867000000000e+08,3.2263678000000000e+09,2.3801158000000000e+07,3.2025666420000000e+09,3.6967247000000000e+08,3.3835000000000000e+06,3.6628897000000000e+08,4.6120402000000000e+08,1.9291159000000000e+08,2.6829243000000000e+08,4.0572442900000000e+09,3.8371480420000000e+09,3.3524910000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.5711993000000000e+09,2.4497789000000000e+08,8.0582660000000000e+07,8.9261700000000000e+06,1.0703910000000000e+07,1.9587109100000000e+09,4.0706200000000000e+06,1.9546402900000000e+09,1.4310927200000000e+08,2.0699800000000000e+06,1.4103929200000000e+08,1.2680344000000000e+08,1.4427266000000000e+07,1.1237617400000000e+08,2.2286236220000000e+09,2.2080557560000000e+09,4.2320980000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.9564567000000000e+08,4.5262100000000000e+07,3.4986000000000000e+06,2.5949000000000000e+06,1.5334700000000000e+07,4.7942206000000000e+08,1.6828300000000000e+06,4.7773923000000000e+08,5.4084717000000000e+07,1.4466690000000000e+06,5.2638048000000000e+07,2.0590277000000000e+07,1.2679700000000000e+06,1.9322307000000000e+07,5.5409705400000000e+08,5.4969958500000000e+08,1.7086090000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.2981745000000000e+08,1.2505890000000000e+07,2.8993300000000000e+06,0.0000000000000000e+00,3.0142000000000000e+05,7.9291472000000000e+08,1.0773000000000000e+06,7.9183742000000000e+08,8.1875420000000000e+07,1.1634000000000000e+05,8.1759080000000000e+07,1.2820353000000000e+07,9.0910000000000000e+05,1.1911253000000000e+07,8.8761049300000000e+08,8.8550775300000000e+08,4.7390630000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.0408429000000000e+08,4.0869500000000000e+06,9.6417000000000000e+06,2.0465000000000000e+06,0.0000000000000000e+00,1.5239774000000000e+08,2.5900000000000000e+05,1.5213874000000000e+08,8.6625600000000000e+06,6.1020000000000000e+04,8.6015400000000000e+06,1.1366640000000000e+07,1.5254400000000000e+06,9.8412000000000000e+06,1.7242694000000000e+08,1.7058148000000000e+08,3.2538300000000000e+07
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.0683886800000000e+08,1.0849180000000000e+07,4.3845000000000000e+06,3.3882000000000000e+06,1.6536000000000000e+06,3.4665122800000000e+08,3.3500000000000000e+06,3.4330122800000000e+08,3.8281380000000000e+07,8.2661000000000000e+05,3.7454770000000000e+07,9.8034400000000000e+06,1.0037000000000000e+06,8.7997400000000000e+06,3.9473604800000000e+08,3.8955573800000000e+08,1.9536880000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.1813249000000000e+08,1.3498342000000000e+08,7.6631000000000000e+06,1.5550000000000000e+05,7.4650500000000000e+06,9.7069636000000000e+08,1.2042500000000000e+06,9.6949211000000000e+08,8.2287060000000000e+07,1.7711000000000000e+05,8.2109950000000000e+07,4.3390750000000000e+07,8.9687000000000000e+05,4.2493880000000000e+07,1.0963741700000000e+09,1.0940959400000000e+09,2.2968000000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.1298920000000000e+08,7.6869000000000000e+06,1.2940000000000000e+06,0.0000000000000000e+00,2.9680000000000000e+05,1.2416600000000000e+08,5.7709000000000000e+05,1.2358891000000000e+08,1.6195010000000000e+07,6.4510000000000000e+04,1.6130500000000000e+07,9.4708500000000000e+06,2.9442000000000000e+05,9.1764300000000000e+06,1.4983186000000000e+08,1.4889584000000000e+08,1.8991000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,1.9687046400000000e+09,3.1418413000000000e+08,4.5953370000000000e+07,4.6427000000000000e+05,1.0123300000000000e+07,2.3605093700000000e+09,1.9782787000000000e+07,2.3407265830000000e+09,2.3068041700000000e+08,9.1433560000000000e+06,2.2153706100000000e+08,1.7919501200000000e+08,4.3034350000000000e+07,1.3616066200000000e+08,2.7703847990000000e+09,2.6984243060000000e+09,2.1079660000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.1712521000000000e+08,5.5476070000000000e+07,1.4760280000000000e+07,2.4237100000000000e+06,2.9483500000000000e+06,3.9946668000000000e+08,1.9533300000000000e+06,3.9751335000000000e+08,2.8887820000000000e+07,1.9172000000000000e+05,2.8696100000000000e+07,2.1763220000000000e+07,7.3265300000000000e+06,1.4436690000000000e+07,4.5011772000000000e+08,4.4064614000000000e+08,6.7330600000000000e+06
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.1752156350000000e+09,1.3343880300000000e+08,2.6459750000000000e+07,1.0399000000000000e+06,4.3959920000000000e+06,1.3569925900000000e+09,5.4158300000000000e+06,1.3515767600000000e+09,9.5227762000000000e+07,7.6738000000000000e+05,9.4460382000000000e+07,6.2415511000000000e+07,2.9572900000000000e+06,5.9458221000000000e+07,1.5146358630000000e+09,1.5054953630000000e+09,1.6442510000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,8.8660166000000000e+08,8.6018000000000000e+07,8.8021000000000000e+06,3.9773000000000000e+06,2.0882700000000000e+07,1.0418701200000000e+09,3.8719090000000000e+06,1.0379982110000000e+09,1.1787428300000000e+08,1.9150740000000000e+06,1.1595920900000000e+08,4.3822655000000000e+07,1.9649000000000000e+06,4.1857755000000000e+07,1.2035670580000000e+09,1.1958151750000000e+09,3.5588360000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.4758725000000000e+08,1.6121000000000000e+06,5.8910000000000000e+05,1.1313700000000000e+07,0.0000000000000000e+00,1.6333492000000000e+08,1.1150000000000000e+06,1.6221992000000000e+08,1.2658670000000000e+07,1.7679000000000000e+05,1.2481880000000000e+07,1.2928690000000000e+07,9.3410000000000000e+04,1.2835280000000000e+07,1.8892228000000000e+08,1.8753708000000000e+08,2.2327700000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.8091951000000000e+08,1.4635700000000000e+07,6.1127300000000000e+06,3.1500000000000000e+05,5.3260000000000000e+05,4.1304198100000000e+08,1.2045000000000000e+06,4.1183748100000000e+08,4.2975000000000000e+07,2.2483000000000000e+05,4.2750170000000000e+07,1.3492630000000000e+07,1.9822100000000000e+06,1.1510420000000000e+07,4.6950961100000000e+08,4.6609807100000000e+08,1.0526441000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,2.6964281000000000e+08,1.2511500000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7573181000000000e+08,3.7600000000000000e+05,3.7535581000000000e+08,1.3700460000000000e+07,5.7180000000000000e+04,1.3643280000000000e+07,9.0128700000000000e+06,4.7565000000000000e+05,8.5372200000000000e+06,3.9844514000000000e+08,3.9753631000000000e+08,9.3577500000000000e+07
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,8.5397842000000000e+08,3.4581900000000000e+07,1.1926000000000000e+06,4.5590000000000000e+05,0.0000000000000000e+00,8.9171922000000000e+08,2.8422000000000000e+06,8.8887702000000000e+08,8.8117100000000000e+07,5.3463000000000000e+05,8.7582470000000000e+07,2.5996280000000000e+07,2.1943700000000000e+06,2.3801910000000000e+07,1.0058326000000000e+09,1.0002614000000000e+09,1.5104000000000000e+06
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,8.4926209000000000e+08,1.8627384000000000e+08,3.5683800000000000e+07,0.0000000000000000e+00,1.3323400000000000e+06,1.0831390800000000e+09,3.1557650000000000e+06,1.0799833150000000e+09,1.0870475000000000e+08,4.2894000000000000e+05,1.0827581000000000e+08,9.1839077000000000e+07,8.7297700000000000e+06,8.3109307000000000e+07,1.2836829070000000e+09,1.2713684320000000e+09,1.0587010000000000e+07
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,3.8855665000000000e+09,1.4337644000000000e+09,3.4539020000000000e+08,2.7877000000000000e+06,2.4647660000000000e+08,6.0626859000000000e+09,4.9122835000000000e+07,6.0135630650000000e+09,4.9985148400000000e+08,1.2593800000000000e+06,4.9859210400000000e+08,5.4428865800000000e+08,1.6883434000000000e+08,3.7545431800000000e+08,7.1068260420000000e+09,6.8876094870000000e+09,1.4870050000000000e+08
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,7.0474079700000000e+09,6.4612415000000000e+08,3.2326000000000000e+06,5.4740000000000000e+05,3.9723670000000000e+07,7.8523493200000000e+09,1.0835000000000000e+06,7.8512658200000000e+09,2.3298479600000000e+08,6.0120000000000000e+04,2.3292467600000000e+08,1.6646782600000000e+08,1.4500000000000000e+04,1.6645332600000000e+08,8.2518019420000000e+09,8.2506438220000000e+09,1.1531353000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,3.8474194000000000e+08,2.9873540000000000e+07,1.4212150000000000e+07,4.3022000000000000e+05,2.7241200000000000e+06,4.4220827000000000e+08,1.5833800000000000e+06,4.4062489000000000e+08,3.4044220000000000e+07,1.8939000000000000e+05,3.3854830000000000e+07,2.6244680000000000e+07,1.0342884000000000e+07,1.5901796000000000e+07,5.0249717000000000e+08,4.9038151600000000e+08,1.0226300000000000e+07
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,5.0298429000000000e+08,1.0202631000000000e+08,9.4138550000000000e+06,4.5607000000000000e+05,1.7661560000000000e+07,6.4564339500000000e+08,4.6198400000000000e+06,6.4102355500000000e+08,6.5147960000000000e+07,6.4618000000000000e+05,6.4501780000000000e+07,4.3962413000000000e+07,1.0886670000000000e+06,4.2873746000000000e+07,7.5475376800000000e+08,7.4839908100000000e+08,1.3101310000000000e+07
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,5.0502636500000000e+08,1.9286470000000000e+07,1.8324880000000000e+07,3.9823000000000000e+05,1.6172800000000000e+06,6.5333140900000000e+08,4.1285800000000000e+06,6.4920282900000000e+08,6.2333934000000000e+07,2.5719000000000000e+05,6.2076744000000000e+07,5.0661713000000000e+07,1.8184876000000000e+07,3.2476837000000000e+07,7.6632705600000000e+08,7.4375641000000000e+08,1.0867818400000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.5642940000000000e+08,1.8929900000000000e+07,7.4490100000000000e+07,6.6680000000000000e+05,0.0000000000000000e+00,4.5261160000000000e+08,2.0859400000000000e+06,4.5052566000000000e+08,5.4362495000000000e+07,2.1265270000000000e+06,5.2235968000000000e+07,1.0799525500000000e+08,3.7790816000000000e+07,7.0204439000000000e+07,6.1496935000000000e+08,5.7296606700000000e+08,2.0954000000000000e+06
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,6.9706259000000000e+08,3.1397590000000000e+07,7.3865400000000000e+06,0.0000000000000000e+00,3.1691100000000000e+06,7.6367996000000000e+08,3.3473540000000000e+06,7.6033260600000000e+08,7.2059680000000000e+07,2.6488600000000000e+06,6.9410820000000000e+07,1.9626384000000000e+07,7.8528000000000000e+05,1.8841104000000000e+07,8.5536602400000000e+08,8.4858453000000000e+08,2.4664130000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,9.1567026000000000e+08,5.3566825000000000e+07,8.1651460000000000e+06,0.0000000000000000e+00,2.1230060000000000e+06,1.0145648430000000e+09,3.6031500000000000e+06,1.0109616930000000e+09,9.9452221000000000e+07,7.0898000000000000e+05,9.8743241000000000e+07,2.8058760000000000e+07,1.7825550000000000e+06,2.6276205000000000e+07,1.1420758240000000e+09,1.1359811390000000e+09,3.5039606000000000e+07
