Municipality,Equalized Net Grand List GLYR 2009
"ANDOVER",3.7703453596590686e+08
"ANSONIA",1.4841302650077641e+09
"ASHFORD",4.5412748088268745e+08
"AVON",3.6498238823365226e+09
"BARKHAMSTED",5.3390723900225979e+08
"BEACON FALLS",7.1175272512895012e+08
"BERLIN",3.2694065779004960e+09
"BETHANY",8.6412251294969010e+08
"BETHEL",2.8159526317257304e+09
"BETHLEHEM",5.6293359155285573e+08
"BLOOMFIELD",2.9638479200000005e+09
"BOLTON",6.6046693317739642e+08
"BOZRAH",3.6219383904031789e+08
"BRANFORD",4.9396632428571434e+09
"BRIDGEPORT",9.7902159606418858e+09
"BRIDGEWATER",5.7126381017528713e+08
"BRISTOL",6.1119260272864466e+09
"BROOKFIELD",3.3152692594749608e+09
"BROOKLYN",7.3927179428571427e+08
"BURLINGTON",1.2657931212113714e+09
"CANAAN",2.6348598394396263e+08
"CANTERBURY",5.4354819571428573e+08
"CANTON",1.5721265800894585e+09
"CHAPLIN",2.2664223315328744e+08
"CHESHIRE",4.1334444410108123e+09
"CHESTER",6.5124597473608899e+08
"CLINTON",2.2227177582288971e+09
"COLCHESTER",1.7521811061838307e+09
"COLEBROOK",2.5074715222739118e+08
"COLUMBIA",7.2008121833482444e+08
"CORNWALL",5.7202278125445294e+08
"COVENTRY",1.3662197042857141e+09
"CROMWELL",1.8712344501263475e+09
"DANBURY",1.0050978529836004e+10
"DARIEN",1.1672335338158606e+10
"DEEP RIVER",7.0382664509050560e+08
"DERBY",1.1903372077291131e+09
"DURHAM",1.0873921234519467e+09
"EAST GRANBY",8.3519001394557822e+08
"EAST HADDAM",1.3601223280564809e+09
"EAST HAMPTON",1.6425279894640341e+09
"EAST HARTFORD",4.2885948461352401e+09
"EAST HAVEN",2.9253492335479522e+09
"EAST LYME",3.1514657267526627e+09
"EAST WINDSOR",1.5022436433407359e+09
"EASTFORD",2.2135008558359343e+08
"EASTON",1.9294509189321404e+09
"ELLINGTON",1.8703471369495919e+09
"ENFIELD",4.7167368492866983e+09
"ESSEX",1.6287453415727134e+09
"FAIRFIELD",1.4777580116678604e+10
"FARMINGTON",5.2378383368445158e+09
"FRANKLIN",2.8729305699819499e+08
"GLASTONBURY",5.8027564439403286e+09
"GOSHEN",7.9816599920566881e+08
"GRANBY",1.4554861443220692e+09
"GREENWICH",4.4032314926191811e+10
"GRISWOLD",1.1002959853140731e+09
"GROTON",5.9735195028731852e+09
"GROTON (City of)",
"GUILFORD",4.4334762921456556e+09
"HADDAM",1.3117811566136696e+09
"HAMDEN",6.1068403312102776e+09
"HAMPTON",1.9279574667008105e+08
"HARTFORD",7.7136077844227419e+09
"HARTLAND",2.5803163345742208e+08
"HARWINTON",8.1731605037322307e+08
"HEBRON",1.1169619880058000e+09
"KENT",8.4499986454546225e+08
"KILLINGLY",1.6979889470597801e+09
"KILLINGWORTH",1.0307686061271632e+09
"LEBANON",9.0231681478834355e+08
"LEDYARD",1.6473872952509058e+09
"LISBON",5.5921540987641227e+08
"LITCHFIELD",1.5385829157531798e+09
"LYME",8.7338078498554087e+08
"MADISON",4.4747267050279951e+09
"MANCHESTER",6.1566731882851686e+09
"MANSFIELD",1.3853503014285715e+09
"MARLBOROUGH",8.2387400472909462e+08
"MERIDEN",5.0641123312050695e+09
"MIDDLEBURY",1.4175320596120739e+09
"MIDDLEFIELD",6.2465471537147832e+08
"MIDDLETOWN",5.1706059092325859e+09
"MILFORD",7.1866134674912539e+09
"MONROE",3.2775780571428576e+09
"MONTVILLE",2.1007815237073295e+09
"MORRIS",5.0950807791318274e+08
"NAUGATUCK",2.6572036514545107e+09
"NEW BRITAIN",4.0125220547661791e+09
"NEW CANAAN",1.0795708736646456e+10
"NEW FAIRFIELD",2.3946299500000000e+09
"NEW HARTFORD",9.6415292788623977e+08
"NEW HAVEN",7.7480695148498173e+09
"NEW LONDON",2.1041519712883825e+09
"NEW MILFORD",4.3667294312087870e+09
"NEWINGTON",4.0734744094287047e+09
"NEWTOWN",4.7796088011904030e+09
"NORFOLK",3.8202095899119157e+08
"NORTH BRANFORD",1.9179572347476232e+09
"NORTH CANAAN",4.6866152242862397e+08
"NORTH HAVEN",4.1655958671428576e+09
"NORTH STONINGTON",8.3230565572260332e+08
"NORWALK",1.7356987044629017e+10
"NORWICH",3.1479814088067508e+09
"OLD LYME",2.3176329299999995e+09
"OLD SAYBROOK",3.1733175245927348e+09
"ORANGE",2.3889473796600094e+09
"OXFORD",2.0902102949943583e+09
"PLAINFIELD",1.3688497247971413e+09
"PLAINVILLE",1.9700662221297569e+09
"PLYMOUTH",1.1420320332464123e+09
"POMFRET",5.0816974714285719e+08
"PORTLAND",1.1364449907849076e+09
"PRESTON",5.8710805479465222e+08
"PROSPECT",1.1993116424977820e+09
"PUTNAM",8.7810175451588583e+08
"REDDING",2.4334771396743646e+09
"RIDGEFIELD",7.2105440841852045e+09
"ROCKY HILL",2.9592191542587132e+09
"ROXBURY",9.7084602789112794e+08
"SALEM",5.4670009333164012e+08
"SALISBURY",1.5209752975575137e+09
"SCOTLAND",1.7563097252000311e+08
"SEYMOUR",1.8785913202576027e+09
"SHARON",9.6941642579139757e+08
"SHELTON",6.8179340047399921e+09
"SHERMAN",1.0279154991269331e+09
"SIMSBURY",3.7170235058891406e+09
"SOMERS",1.1765518300000000e+09
"SOUTH WINDSOR",3.8133980981822958e+09
"SOUTHBURY",3.2225740411214042e+09
"SOUTHINGTON",5.7659417203093958e+09
"SPRAGUE",2.8969402680335242e+08
"STAFFORD",1.2013761035099812e+09
"STAMFORD",2.9980542111015987e+10
"STERLING",4.0550083512744427e+08
"STONINGTON",4.1084455657386365e+09
"STRATFORD",6.7491196457142859e+09
"SUFFIELD",1.9094532813184988e+09
"THOMASTON",8.1192358634719706e+08
"THOMPSON",8.7228422428571439e+08
"TOLLAND",1.8194916257142859e+09
"TORRINGTON",3.3827151928571434e+09
"TRUMBULL",6.4912090688356447e+09
"UNION",1.5258797697609785e+08
"VERNON",2.4626904738174133e+09
"VOLUNTOWN",2.7759443499202365e+08
"WALLINGFORD",6.6449070455225325e+09
"WARREN",4.7436792710734695e+08
"WASHINGTON",1.6678753090474060e+09
"WATERBURY",7.0564990425110245e+09
"WATERFORD",4.9003468833931265e+09
"WATERTOWN",2.7119100578961077e+09
"WEST HARTFORD",7.1374135054970970e+09
"WEST HAVEN",4.2009684542070565e+09
"WESTBROOK",1.8733178007284124e+09
"WESTON",3.5222425403143086e+09
"WESTPORT",1.4735698117378708e+10
"WETHERSFIELD",3.2743600776257739e+09
"WILLINGTON",6.7063684087600696e+08
"WILTON",6.2830429655589905e+09
"WINCHESTER",1.1486819209622324e+09
"WINDHAM",1.4724318382179887e+09
"WINDSOR",4.0396457719261379e+09
"WINDSOR LOCKS",1.9585354280049438e+09
"WOLCOTT",1.9452133178996859e+09
"WOODBRIDGE",1.6939667000000002e+09
"WOODBURY",1.6236887582480502e+09
"WOODSTOCK",1.0212583655074248e+09
