MUNICIPALITY,Numbered,YEAR LAST REVAL,YEAR OF NEXT REVAL
"ANDOVER",1.0000000000000000e+00,2.0160000000000000e+03,2021
"ANSONIA",2.0000000000000000e+00,2.0120000000000000e+03,2017
"ASHFORD",3.0000000000000000e+00,2.0160000000000000e+03,2021
"AVON",4.0000000000000000e+00,2.0130000000000000e+03,2018
"BARKHAMSTED",5.0000000000000000e+00,2.0130000000000000e+03,2018
"BEACON FALLS",6.0000000000000000e+00,2.0160000000000000e+03,2021
"BERLIN",7.0000000000000000e+00,2.0120000000000000e+03,2017
"BETHANY",8.0000000000000000e+00,2.0130000000000000e+03,2018
"BETHEL",9.0000000000000000e+00,2.0120000000000000e+03,2017
"BETHLEHEM",1.0000000000000000e+01,2.0130000000000000e+03,2018
"BLOOMFIELD",1.1000000000000000e+01,2.0140000000000000e+03,2019
"BOLTON",1.2000000000000000e+01,2.0130000000000000e+03,2018
"BOZRAH",1.3000000000000000e+01,2.0120000000000000e+03,2017
"BRANFORD",1.4000000000000000e+01,2.0140000000000000e+03,2019
"BRIDGEPORT",1.5000000000000000e+01,2.0150000000000000e+03,2020
"BRIDGEWATER",1.6000000000000000e+01,2.0160000000000000e+03,2021
"BRISTOL",1.7000000000000000e+01,2.0120000000000000e+03,2017
"BROOKFIELD",1.8000000000000000e+01,2.0160000000000000e+03,2021
"BROOKLYN",1.9000000000000000e+01,2.0150000000000000e+03,2020
"BURLINGTON",2.0000000000000000e+01,2.0130000000000000e+03,2018
"CANAAN",2.1000000000000000e+01,2.0120000000000000e+03,2017
"CANTERBURY",2.2000000000000000e+01,2.0150000000000000e+03,2020
"CANTON",2.3000000000000000e+01,2.0130000000000000e+03,2018
"CHAPLIN",2.4000000000000000e+01,2.0130000000000000e+03,2018
"CHESHIRE",2.5000000000000000e+01,2.0130000000000000e+03,2018
"CHESTER",2.6000000000000000e+01,2.0130000000000000e+03,2018
"CLINTON",2.7000000000000000e+01,2.0150000000000000e+03,2020
"COLCHESTER",2.8000000000000000e+01,2.0160000000000000e+03,2021
"COLEBROOK",2.9000000000000000e+01,2.0150000000000000e+03,2020
"COLUMBIA",3.0000000000000000e+01,2.0160000000000000e+03,2021
"CORNWALL",3.1000000000000000e+01,2.0160000000000000e+03,2021
"COVENTRY",3.2000000000000000e+01,2.0140000000000000e+03,2019
"CROMWELL",3.3000000000000000e+01,2.0120000000000000e+03,2017
"DANBURY",3.4000000000000000e+01,2.0120000000000000e+03,2017
"DARIEN",3.5000000000000000e+01,2.0130000000000000e+03,2018
"DEEP RIVER",3.6000000000000000e+01,2.0150000000000000e+03,2020
"DERBY",3.7000000000000000e+01,2.0150000000000000e+03,2020
"DURHAM",3.8000000000000000e+01,2.0150000000000000e+03,2020
"EAST GRANBY",3.9000000000000000e+01,2.0130000000000000e+03,2018
"EAST HADDAM",4.0000000000000000e+01,2.0120000000000000e+03,2017
"EAST HAMPTON",4.1000000000000000e+01,2.0150000000000000e+03,2020
"EAST HARTFORD",4.2000000000000000e+01,2.0160000000000000e+03,2021
"EAST HAVEN",4.3000000000000000e+01,2.0160000000000000e+03,2021
"EAST LYME",4.4000000000000000e+01,2.0160000000000000e+03,2021
"EAST WINDSOR",4.5000000000000000e+01,2.0120000000000000e+03,2017
"EASTFORD",4.6000000000000000e+01,2.0130000000000000e+03,2018
"EASTON",4.7000000000000000e+01,2.0160000000000000e+03,2021
"ELLINGTON",4.8000000000000000e+01,2.0150000000000000e+03,2020
"ENFIELD",4.9000000000000000e+01,2.0160000000000000e+03,2021
"ESSEX",5.0000000000000000e+01,2.0130000000000000e+03,2018
"FAIRFIELD",5.1000000000000000e+01,2.0150000000000000e+03,2020
"FARMINGTON",5.2000000000000000e+01,2.0120000000000000e+03,2017
"FRANKLIN",5.3000000000000000e+01,2.0130000000000000e+03,2018
"GLASTONBURY",5.4000000000000000e+01,2.0120000000000000e+03,2017
"GOSHEN",5.5000000000000000e+01,2.0120000000000000e+03,2017
"GRANBY",5.6000000000000000e+01,2.0120000000000000e+03,2017
"GREENWICH",5.7000000000000000e+01,2.0150000000000000e+03,2020
"GRISWOLD",5.8000000000000000e+01,2.0160000000000000e+03,2021
"GROTON",5.9000000000000000e+01,2.0160000000000000e+03,2021
"GUILFORD",6.1000000000000000e+01,2.0130000000000000e+03,2017
"HADDAM",6.2000000000000000e+01,2.0150000000000000e+03,2020
"HAMDEN",6.3000000000000000e+01,2.0150000000000000e+03,2020
"HAMPTON",6.4000000000000000e+01,2.0130000000000000e+03,2018
"HARTFORD",6.5000000000000000e+01,2.0160000000000000e+03,2021
"HARTLAND",6.6000000000000000e+01,2.0150000000000000e+03,2020
"HARWINTON",6.7000000000000000e+01,2.0130000000000000e+03,2018
"HEBRON",6.8000000000000000e+01,2.0160000000000000e+03,2021
"KENT",6.9000000000000000e+01,2.0130000000000000e+03,2018
"KILLINGLY",7.0000000000000000e+01,2.0130000000000000e+03,2018
"KILLINGWORTH",7.1000000000000000e+01,2.0160000000000000e+03,2021
"LEBANON",7.2000000000000000e+01,2.0130000000000000e+03,2018
"LEDYARD",7.3000000000000000e+01,2.0150000000000000e+03,2020
"LISBON",7.4000000000000000e+01,2.0160000000000000e+03,2021
"LITCHFIELD",7.5000000000000000e+01,2.0130000000000000e+03,2018
"LYME",7.6000000000000000e+01,2.0130000000000000e+03,2018
"MADISON",7.7000000000000000e+01,2.0130000000000000e+03,2018
"MANCHESTER",7.8000000000000000e+01,2.0160000000000000e+03,2021
"MANSFIELD",7.9000000000000000e+01,2.0140000000000000e+03,2019
"MARLBOROUGH",8.0000000000000000e+01,2.0150000000000000e+03,2020
"MERIDEN",8.1000000000000000e+01,2.0160000000000000e+03,2021
"MIDDLEBURY",8.2000000000000000e+01,2.0160000000000000e+03,2021
"MIDDLEFIELD",8.3000000000000000e+01,2.0160000000000000e+03,2021
"MIDDLETOWN",8.4000000000000000e+01,2.0130000000000000e+03,2017
"MILFORD",8.5000000000000000e+01,2.0160000000000000e+03,2021
"MONROE",8.6000000000000000e+01,2.0140000000000000e+03,2019
"MONTVILLE",8.7000000000000000e+01,2.0160000000000000e+03,2021
"MORRIS",8.8000000000000000e+01,2.0140000000000000e+03,2019
"NAUGATUCK",8.9000000000000000e+01,2.0120000000000000e+03,2018
"NEW BRITAIN",9.0000000000000000e+01,2.0120000000000000e+03,2017
"NEW CANAAN",9.1000000000000000e+01,2.0130000000000000e+03,2018
"NEW FAIRFIELD",9.2000000000000000e+01,2.0140000000000000e+03,2019
"NEW HARTFORD",9.3000000000000000e+01,2.0130000000000000e+03,2018
"NEW HAVEN",9.4000000000000000e+01,2.0160000000000000e+03,2021
"NEW LONDON",9.5000000000000000e+01,2.0130000000000000e+03,2018
"NEW MILFORD",9.6000000000000000e+01,2.0150000000000000e+03,2020
"NEWINGTON",9.7000000000000000e+01,2.0150000000000000e+03,2020
"NEWTOWN",9.8000000000000000e+01,2.0120000000000000e+03,2017
"NORFOLK",9.9000000000000000e+01,2.0130000000000000e+03,2018
"NORTH BRANFORD",1.0000000000000000e+02,2.0150000000000000e+03,2020
"NORTH CANAAN",1.0100000000000000e+02,2.0120000000000000e+03,2017
"NORTH HAVEN",1.0200000000000000e+02,2.0140000000000000e+03,2019
"NORTH STONINGTON",1.0300000000000000e+02,2.0150000000000000e+03,2020
"NORWALK",1.0400000000000000e+02,2.0130000000000000e+03,2018
"NORWICH",1.0500000000000000e+02,2.0130000000000000e+03,2018
"OLD LYME",1.0600000000000000e+02,2.0140000000000000e+03,2019
"OLD SAYBROOK",1.0700000000000000e+02,2.0130000000000000e+03,2018
"ORANGE",1.0800000000000000e+02,2.0160000000000000e+03,2021
"OXFORD",1.0900000000000000e+02,2.0150000000000000e+03,2020
"PLAINFIELD",1.1000000000000000e+02,2.0120000000000000e+03,2017
"PLAINVILLE",1.1100000000000000e+02,2.0160000000000000e+03,2021
"PLYMOUTH",1.1200000000000000e+02,2.0160000000000000e+03,2021
"POMFRET",1.1300000000000000e+02,2.0150000000000000e+03,2020
"PORTLAND",1.1400000000000000e+02,2.0160000000000000e+03,2021
"PRESTON",1.1500000000000000e+02,2.0120000000000000e+03,2017
"PROSPECT",1.1600000000000000e+02,2.0150000000000000e+03,2020
"PUTNAM",1.1700000000000000e+02,2.0140000000000000e+03,2019
"REDDING",1.1800000000000000e+02,2.0120000000000000e+03,2017
"RIDGEFIELD",1.1900000000000000e+02,2.0120000000000000e+03,2017
"ROCKY HILL",1.2000000000000000e+02,2.0130000000000000e+03,2018
"ROXBURY",1.2100000000000000e+02,2.0120000000000000e+03,2017
"SALEM",1.2200000000000000e+02,2.0160000000000000e+03,2021
"SALISBURY",1.2300000000000000e+02,2.0150000000000000e+03,2020
"SCOTLAND",1.2400000000000000e+02,2.0130000000000000e+03,2018
"SEYMOUR",1.2500000000000000e+02,2.0150000000000000e+03,2020
"SHARON",1.2600000000000000e+02,2.0130000000000000e+03,2018
"SHELTON",1.2700000000000000e+02,2.0160000000000000e+03,2021
"SHERMAN",1.2800000000000000e+02,2.0130000000000000e+03,2018
"SIMSBURY",1.2900000000000000e+02,2.0120000000000000e+03,2017
"SOMERS",1.3000000000000000e+02,2.0150000000000000e+03,2020
"SOUTH WINDSOR",1.3100000000000000e+02,2.0120000000000000e+03,2017
"SOUTHBURY",1.3200000000000000e+02,2.0120000000000000e+03,2017
"SOUTHINGTON",1.3300000000000000e+02,2.0150000000000000e+03,2020
"SPRAGUE",1.3400000000000000e+02,2.0120000000000000e+03,2017
"STAFFORD",1.3500000000000000e+02,2.0150000000000000e+03,2020
"STAMFORD",1.3600000000000000e+02,2.0120000000000000e+03,2017
"STERLING",1.3700000000000000e+02,2.0120000000000000e+03,2017
"STONINGTON",1.3800000000000000e+02,2.0120000000000000e+03,2017
"STRATFORD",1.3900000000000000e+02,2.0140000000000000e+03,2019
"SUFFIELD",1.4000000000000000e+02,2.0130000000000000e+03,2018
"THOMASTON",1.4100000000000000e+02,2.0160000000000000e+03,2021
"THOMPSON",1.4200000000000000e+02,2.0140000000000000e+03,2019
"TOLLAND",1.4300000000000000e+02,2.0140000000000000e+03,2019
"TORRINGTON",1.4400000000000000e+02,2.0140000000000000e+03,2019
"TRUMBULL",1.4500000000000000e+02,2.0150000000000000e+03,2020
"UNION",1.4600000000000000e+02,2.0130000000000000e+03,2018
"VERNON",1.4700000000000000e+02,2.0160000000000000e+03,2021
"VOLUNTOWN",1.4800000000000000e+02,2.0150000000000000e+03,2020
"WALLINGFORD",1.4900000000000000e+02,2.0150000000000000e+03,2020
"WARREN",1.5000000000000000e+02,2.0120000000000000e+03,2017
"WASHINGTON",1.5100000000000000e+02,2.0130000000000000e+03,2018
"WATERBURY",1.5200000000000000e+02,2.0120000000000000e+03,2017
"WATERFORD",1.5300000000000000e+02,2.0120000000000000e+03,2017
"WATERTOWN",1.5400000000000000e+02,2.0130000000000000e+03,2018
"WEST HARTFORD",1.5500000000000000e+02,2.0160000000000000e+03,2021
"WEST HAVEN",1.5600000000000000e+02,2.0150000000000000e+03,2020
"WESTBROOK",1.5700000000000000e+02,2.0160000000000000e+03,2021
"WESTON",1.5800000000000000e+02,2.0130000000000000e+03,2018
"WESTPORT",1.5900000000000000e+02,2.0150000000000000e+03,2020
"WETHERSFIELD",1.6000000000000000e+02,2.0130000000000000e+03,2018
"WILLINGTON",1.6100000000000000e+02,2.0130000000000000e+03,2018
"WILTON",1.6200000000000000e+02,2.0120000000000000e+03,2017
"WINCHESTER",1.6300000000000000e+02,2.0120000000000000e+03,2017
"WINDHAM",1.6400000000000000e+02,2.0130000000000000e+03,2018
"WINDSOR",1.6500000000000000e+02,2.0130000000000000e+03,2018
"WINDSOR LOCKS",1.6600000000000000e+02,2.0130000000000000e+03,2018
"WOLCOTT",1.6700000000000000e+02,2.0160000000000000e+03,2021
"WOODBRIDGE",1.6800000000000000e+02,2.0140000000000000e+03,2019
"WOODBURY",1.6900000000000000e+02,2.0130000000000000e+03,2018
"WOODSTOCK",1.7000000000000000e+02,2.0160000000000000e+03,2021
