Municipality,numbered,Median Home Values - 2016 Estimate,Population_Range,Margin of Error
"NEW CANAAN",9.1000000000000000e+01,1373100.0000,"10,000 to 30,000",122251.0000
"DARIEN",3.5000000000000000e+01,1248200.0000,"10,000 to 30,000",69247.0000
"GREENWICH",5.7000000000000000e+01,1205600.0000,"30,000 to 70,000",40637.0000
"WESTPORT",1.5900000000000000e+02,1087700.0000,"10,000 to 30,000",53428.0000
"WESTON",1.5800000000000000e+02,857700.0000,"0 to 10,000",32830.0000
"WILTON",1.6200000000000000e+02,812100.0000,"10,000 to 30,000",28321.0000
"RIDGEFIELD",1.1900000000000000e+02,673900.0000,"10,000 to 30,000",21110.0000
"ROXBURY",1.2100000000000000e+02,638400.0000,"0 to 10,000",37279.0000
"EASTON",4.7000000000000000e+01,629200.0000,"0 to 10,000",24652.0000
"REDDING",1.1800000000000000e+02,603300.0000,"0 to 10,000",22737.0000
"FAIRFIELD",5.1000000000000000e+01,589500.0000,"30,000 to 70,000",11676.0000
"BRIDGEWATER",1.6000000000000000e+01,505200.0000,"0 to 10,000",52291.0000
"STAMFORD",1.3600000000000000e+02,504200.0000,"70,000 & Up",14242.0000
"LYME",7.6000000000000000e+01,497300.0000,"0 to 10,000",78307.0000
"WOODBRIDGE",1.6800000000000000e+02,484300.0000,"0 to 10,000",21531.0000
"SHERMAN",1.2800000000000000e+02,472000.0000,"0 to 10,000",33863.0000
"WASHINGTON",1.5100000000000000e+02,449500.0000,"0 to 10,000",49096.0000
"MADISON",7.7000000000000000e+01,440600.0000,"10,000 to 30,000",16238.0000
"SALISBURY",1.2300000000000000e+02,433800.0000,"0 to 10,000",82755.0000
"CORNWALL",3.1000000000000000e+01,420100.0000,"0 to 10,000",46284.0000
"NORWALK",1.0400000000000000e+02,416800.0000,"70,000 & Up",10179.0000
"OLD LYME",1.0600000000000000e+02,408100.0000,"0 to 10,000",22255.0000
"NEWTOWN",9.8000000000000000e+01,402200.0000,"10,000 to 30,000",12464.0000
"TRUMBULL",1.4500000000000000e+02,392800.0000,"30,000 to 70,000",7448.0000
"GUILFORD",6.1000000000000000e+01,385500.0000,"10,000 to 30,000",11057.0000
"SHARON",1.2600000000000000e+02,385500.0000,"0 to 10,000",45310.0000
"ORANGE",1.0800000000000000e+02,382300.0000,"10,000 to 30,000",7436.0000
"MONROE",8.6000000000000000e+01,374500.0000,"10,000 to 30,000",13018.0000
"AVON",4.0000000000000000e+00,374300.0000,"10,000 to 30,000",14993.0000
"WESTBROOK",1.5700000000000000e+02,374000.0000,"0 to 10,000",34380.0000
"OLD SAYBROOK",1.0700000000000000e+02,373600.0000,"0 to 10,000",14246.0000
"KILLINGWORTH",7.1000000000000000e+01,372800.0000,"0 to 10,000",23098.0000
"WARREN",1.5000000000000000e+02,371000.0000,"0 to 10,000",24360.0000
"KENT",6.9000000000000000e+01,365800.0000,"0 to 10,000",33700.0000
"ESSEX",5.0000000000000000e+01,363600.0000,"0 to 10,000",22637.0000
"GOSHEN",5.5000000000000000e+01,362600.0000,"0 to 10,000",21804.0000
"BROOKFIELD",1.8000000000000000e+01,358500.0000,"10,000 to 30,000",11262.0000
"NEW FAIRFIELD",9.2000000000000000e+01,356300.0000,"10,000 to 30,000",11360.0000
"CHESTER",2.6000000000000000e+01,354300.0000,"0 to 10,000",23714.0000
"MIDDLEBURY",8.2000000000000000e+01,353800.0000,"0 to 10,000",12511.0000
"BETHLEHEM",1.0000000000000000e+01,351200.0000,"0 to 10,000",22837.0000
"OXFORD",1.0900000000000000e+02,346500.0000,"0 to 10,000",10665.0000
"DURHAM",3.8000000000000000e+01,345400.0000,"0 to 10,000",16596.0000
"MORRIS",8.8000000000000000e+01,344000.0000,"0 to 10,000",19991.0000
"GLASTONBURY",5.4000000000000000e+01,343600.0000,"10,000 to 30,000",6351.0000
"BETHANY",8.0000000000000000e+00,343500.0000,"0 to 10,000",21985.0000
"SHELTON",1.2700000000000000e+02,338200.0000,"30,000 to 70,000",5045.0000
"BETHEL",9.0000000000000000e+00,335800.0000,"10,000 to 30,000",9592.0000
"WOODBURY",1.6900000000000000e+02,331800.0000,"0 to 10,000",17419.0000
"CHESHIRE",2.5000000000000000e+01,330600.0000,"10,000 to 30,000",7714.0000
"FARMINGTON",5.2000000000000000e+01,329900.0000,"10,000 to 30,000",12031.0000
"SIMSBURY",1.2900000000000000e+02,328600.0000,"10,000 to 30,000",6800.0000
"BURLINGTON",2.0000000000000000e+01,324100.0000,"0 to 10,000",18121.0000
"WEST HARTFORD",1.5500000000000000e+02,318800.0000,"30,000 to 70,000",6047.0000
"SOUTHBURY",1.3200000000000000e+02,318600.0000,"10,000 to 30,000",14760.0000
"STONINGTON",1.3800000000000000e+02,315300.0000,"10,000 to 30,000",18655.0000
"LITCHFIELD",7.5000000000000000e+01,312400.0000,"0 to 10,000",17465.0000
"NORFOLK",9.9000000000000000e+01,310900.0000,"0 to 10,000",38548.0000
"SOMERS",1.3000000000000000e+02,306700.0000,"0 to 10,000",13985.0000
"MILFORD",8.5000000000000000e+01,306000.0000,"30,000 to 70,000",6839.0000
"MIDDLEFIELD",8.3000000000000000e+01,304100.0000,"0 to 10,000",24708.0000
"MARLBOROUGH",8.0000000000000000e+01,303600.0000,"0 to 10,000",27812.0000
"HEBRON",6.8000000000000000e+01,299700.0000,"0 to 10,000",15906.0000
"EAST LYME",4.4000000000000000e+01,298600.0000,"10,000 to 30,000",9715.0000
"CANTON",2.3000000000000000e+01,297400.0000,"0 to 10,000",15177.0000
"HADDAM",6.2000000000000000e+01,297300.0000,"0 to 10,000",17142.0000
"EAST GRANBY",3.9000000000000000e+01,296000.0000,"0 to 10,000",19986.0000
"NORTH HAVEN",1.0200000000000000e+02,295500.0000,"10,000 to 30,000",6950.0000
"PROSPECT",1.1600000000000000e+02,295300.0000,"0 to 10,000",14971.0000
"SUFFIELD",1.4000000000000000e+02,295200.0000,"10,000 to 30,000",13761.0000
"NEW HARTFORD",9.3000000000000000e+01,294600.0000,"0 to 10,000",19424.0000
"BRANFORD",1.4000000000000000e+01,293600.0000,"10,000 to 30,000",9452.0000
"BOLTON",1.2000000000000000e+01,292900.0000,"0 to 10,000",17195.0000
"NORTH STONINGTON",1.0300000000000000e+02,290000.0000,"0 to 10,000",16489.0000
"GRANBY",5.6000000000000000e+01,288500.0000,"0 to 10,000",13088.0000
"NEW MILFORD",9.6000000000000000e+01,288200.0000,"10,000 to 30,000",9570.0000
"BERLIN",7.0000000000000000e+00,288000.0000,"10,000 to 30,000",7338.0000
"DANBURY",3.4000000000000000e+01,286400.0000,"30,000 to 70,000",5437.0000
"CLINTON",2.7000000000000000e+01,286200.0000,"10,000 to 30,000",8581.0000
"HARWINTON",6.7000000000000000e+01,282900.0000,"0 to 10,000",14549.0000
"NORTH BRANFORD",1.0000000000000000e+02,282600.0000,"10,000 to 30,000",8952.0000
"ANDOVER",1.0000000000000000e+00,281700.0000,"0 to 10,000",15616.0000
"EAST HADDAM",4.0000000000000000e+01,279500.0000,"0 to 10,000",11334.0000
"CANAAN",2.1000000000000000e+01,278700.0000,"0 to 10,000",29911.0000
"TOLLAND",1.4300000000000000e+02,277900.0000,"10,000 to 30,000",15015.0000
"SOUTH WINDSOR",1.3100000000000000e+02,276200.0000,"10,000 to 30,000",6050.0000
"DEEP RIVER",3.6000000000000000e+01,275100.0000,"0 to 10,000",12946.0000
"UNION",1.4600000000000000e+02,275000.0000,"0 to 10,000",20836.0000
"POMFRET",1.1300000000000000e+02,273900.0000,"0 to 10,000",16452.0000
"COLEBROOK",2.9000000000000000e+01,270700.0000,"0 to 10,000",19253.0000
"SALEM",1.2200000000000000e+02,268700.0000,"0 to 10,000",14101.0000
"COLCHESTER",2.8000000000000000e+01,268500.0000,"10,000 to 30,000",8696.0000
"SOUTHINGTON",1.3300000000000000e+02,267800.0000,"30,000 to 70,000",6183.0000
"HARTLAND",6.6000000000000000e+01,266300.0000,"0 to 10,000",12362.0000
"WALLINGFORD",1.4900000000000000e+02,264800.0000,"30,000 to 70,000",6018.0000
"ELLINGTON",4.8000000000000000e+01,264100.0000,"10,000 to 30,000",18609.0000
"EAST HAMPTON",4.1000000000000000e+01,258900.0000,"10,000 to 30,000",12815.0000
"SEYMOUR",1.2500000000000000e+02,255800.0000,"10,000 to 30,000",9418.0000
"LEBANON",7.2000000000000000e+01,255500.0000,"0 to 10,000",15725.0000
"ROCKY HILL",1.2000000000000000e+02,254400.0000,"10,000 to 30,000",13183.0000
"WATERFORD",1.5300000000000000e+02,253800.0000,"10,000 to 30,000",8583.0000
"COVENTRY",3.2000000000000000e+01,252600.0000,"10,000 to 30,000",14532.0000
"BARKHAMSTED",5.0000000000000000e+00,251400.0000,"0 to 10,000",19933.0000
"STRATFORD",1.3900000000000000e+02,249600.0000,"30,000 to 70,000",4794.0000
"PRESTON",1.1500000000000000e+02,249500.0000,"0 to 10,000",21588.0000
"GROTON",5.9000000000000000e+01,247100.0000,"30,000 to 70,000",9628.0000
"WOODSTOCK",1.7000000000000000e+02,246600.0000,"0 to 10,000",15077.0000
"WETHERSFIELD",1.6000000000000000e+02,246200.0000,"10,000 to 30,000",4050.0000
"CROMWELL",3.3000000000000000e+01,245100.0000,"10,000 to 30,000",11069.0000
"EASTFORD",4.6000000000000000e+01,244800.0000,"0 to 10,000",16950.0000
"PORTLAND",1.1400000000000000e+02,244500.0000,"0 to 10,000",11356.0000
"WOLCOTT",1.6700000000000000e+02,243400.0000,"10,000 to 30,000",8697.0000
"LEDYARD",7.3000000000000000e+01,243000.0000,"10,000 to 30,000",10489.0000
"COLUMBIA",3.0000000000000000e+01,242300.0000,"0 to 10,000",12854.0000
"WATERTOWN",1.5400000000000000e+02,241100.0000,"10,000 to 30,000",8846.0000
"SCOTLAND",1.2400000000000000e+02,240600.0000,"0 to 10,000",21889.0000
"FRANKLIN",5.3000000000000000e+01,239900.0000,"0 to 10,000",9884.0000
"ASHFORD",3.0000000000000000e+00,237600.0000,"0 to 10,000",15394.0000
"MANSFIELD",7.9000000000000000e+01,235500.0000,"10,000 to 30,000",9783.0000
"BOZRAH",1.3000000000000000e+01,232900.0000,"0 to 10,000",14034.0000
"BEACON FALLS",6.0000000000000000e+00,231800.0000,"0 to 10,000",19691.0000
"VOLUNTOWN",1.4800000000000000e+02,229100.0000,"0 to 10,000",15224.0000
"WILLINGTON",1.6100000000000000e+02,228800.0000,"0 to 10,000",12818.0000
"MIDDLETOWN",8.4000000000000000e+01,228500.0000,"30,000 to 70,000",4998.0000
"HAMDEN",6.3000000000000000e+01,228200.0000,"30,000 to 70,000",5410.0000
"NEWINGTON",9.7000000000000000e+01,228000.0000,"10,000 to 30,000",4252.0000
"SPRAGUE",1.3400000000000000e+02,227700.0000,"0 to 10,000",26860.0000
"HAMPTON",6.4000000000000000e+01,224500.0000,"0 to 10,000",10580.0000
"BROOKLYN",1.9000000000000000e+01,224200.0000,"0 to 10,000",9843.0000
"CANTERBURY",2.2000000000000000e+01,224000.0000,"0 to 10,000",17458.0000
"LISBON",7.4000000000000000e+01,220900.0000,"0 to 10,000",15327.0000
"WINDSOR",1.6500000000000000e+02,217500.0000,"10,000 to 30,000",5707.0000
"ANSONIA",2.0000000000000000e+00,214800.0000,"10,000 to 30,000",7879.0000
"NORTH CANAAN",1.0100000000000000e+02,212100.0000,"0 to 10,000",18369.0000
"BLOOMFIELD",1.1000000000000000e+01,211800.0000,"10,000 to 30,000",8794.0000
"EAST HAVEN",4.3000000000000000e+01,207000.0000,"10,000 to 30,000",6185.0000
"EAST WINDSOR",4.5000000000000000e+01,205900.0000,"0 to 10,000",13972.0000
"VERNON",1.4700000000000000e+02,205900.0000,"10,000 to 30,000",6947.0000
"THOMASTON",1.4100000000000000e+02,205100.0000,"0 to 10,000",14333.0000
"PLAINVILLE",1.1100000000000000e+02,204000.0000,"10,000 to 30,000",10618.0000
"CHAPLIN",2.4000000000000000e+01,200500.0000,"0 to 10,000",12854.0000
"DERBY",3.7000000000000000e+01,199400.0000,"10,000 to 30,000",14560.0000
"STERLING",1.3700000000000000e+02,196600.0000,"0 to 10,000",15193.0000
"THOMPSON",1.4200000000000000e+02,195700.0000,"0 to 10,000",11575.0000
"WEST HAVEN",1.5600000000000000e+02,193800.0000,"30,000 to 70,000",5047.0000
"STAFFORD",1.3500000000000000e+02,193400.0000,"10,000 to 30,000",10354.0000
"GRISWOLD",5.8000000000000000e+01,192500.0000,"10,000 to 30,000",18871.0000
"BRISTOL",1.7000000000000000e+01,192500.0000,"30,000 to 70,000",4549.0000
"MONTVILLE",8.7000000000000000e+01,191700.0000,"10,000 to 30,000",5898.0000
"NEW HAVEN",9.4000000000000000e+01,190700.0000,"70,000 & Up",6538.0000
"WINDSOR LOCKS",1.6600000000000000e+02,190700.0000,"10,000 to 30,000",5116.0000
"PLYMOUTH",1.1200000000000000e+02,188900.0000,"10,000 to 30,000",5228.0000
"KILLINGLY",7.0000000000000000e+01,187300.0000,"10,000 to 30,000",6496.0000
"ENFIELD",4.9000000000000000e+01,184000.0000,"30,000 to 70,000",2914.0000
"NEW LONDON",9.5000000000000000e+01,183900.0000,"10,000 to 30,000",6633.0000
"MANCHESTER",7.8000000000000000e+01,183000.0000,"30,000 to 70,000",3697.0000
"PUTNAM",1.1700000000000000e+02,182800.0000,"0 to 10,000",10639.0000
"NAUGATUCK",8.9000000000000000e+01,178800.0000,"30,000 to 70,000",6500.0000
"MERIDEN",8.1000000000000000e+01,174800.0000,"30,000 to 70,000",3846.0000
"WINCHESTER",1.6300000000000000e+02,171500.0000,"10,000 to 30,000",10225.0000
"PLAINFIELD",1.1000000000000000e+02,169900.0000,"10,000 to 30,000",4920.0000
"NORWICH",1.0500000000000000e+02,169600.0000,"30,000 to 70,000",5562.0000
"BRIDGEPORT",1.5000000000000000e+01,168200.0000,"70,000 & Up",2736.0000
"EAST HARTFORD",4.2000000000000000e+01,163300.0000,"30,000 to 70,000",3464.0000
"TORRINGTON",1.4400000000000000e+02,162300.0000,"30,000 to 70,000",3430.0000
"HARTFORD",6.5000000000000000e+01,159100.0000,"70,000 & Up",3499.0000
"WINDHAM",1.6400000000000000e+02,158900.0000,"10,000 to 30,000",8062.0000
"NEW BRITAIN",9.0000000000000000e+01,157300.0000,"70,000 & Up",3149.0000
"WATERBURY",1.5200000000000000e+02,129500.0000,"70,000 & Up",3783.0000
